iid,sub_class,model,n_turns,n_turns_extracted,tool_entropy_last10,n_tools_last10
tornadoweb__tornado.d5ac65c1.func_pm_remove_cond__h2kf2jp6,success,gpt-5-router,19,18,1.8464393446710154,10
tornadoweb__tornado.d5ac65c1.func_pm_remove_assign__xps3g2nb,success,gpt-5-router,14,13,1.5709505944546684,10
tornadoweb__tornado.d5ac65c1.func_pm_ctrl_invert_if__cw8l537p,success,gpt-5-router,9,9,1.7527152789797047,9
tornadoweb__tornado.d5ac65c1.func_pm_ctrl_invert_if__w9iqwqi1,success,gpt-5-router,8,8,1.811278124459133,8
tornadoweb__tornado.d5ac65c1.func_pm_class_rm_base__1da8azah,locked,gpt-5-router,13,13,1.3609640474436813,10
tobymao__sqlglot.036601ba.func_pm_remove_cond__w2m1pfif,wandering,gpt-5-router,19,19,1.295461844238322,10
tobymao__sqlglot.036601ba.func_pm_remove_cond__o5bpelfe,wandering,gpt-5-router,21,21,1.8464393446710154,10
tobymao__sqlglot.036601ba.combine_module__ppe7ekkm,wandering,gpt-5-router,23,23,1.3709505944546687,10
tobymao__sqlglot.036601ba.combine_module__dxpfb1m8,success,gpt-5-router,15,15,2.0464393446710156,10
tobymao__sqlglot.036601ba.lm_rewrite__9lfd11cr,locked,gpt-5-router,16,16,1.6854752972273344,10
tobymao__sqlglot.036601ba.func_pm_op_change_const__n6j6v9k8,locked,gpt-5-router,23,23,1.9609640474436814,10
tobymao__sqlglot.036601ba.combine_module__8la693ux,locked,gpt-5-router,13,13,1.8464393446710154,10
tobymao__sqlglot.036601ba.lm_rewrite__qtlzmbwz,wandering,gpt-5-router,27,26,1.1567796494470395,10
tkrajina__gpxpy.09fc46b3.lm_rewrite__zh69lrln,wandering,gpt-5-router,20,20,1.8464393446710154,10
tobymao__sqlglot.036601ba.combine_module__f299g1y5,locked,gpt-5-router,7,7,2.5216406363433186,7
tkrajina__gpxpy.09fc46b3.func_pm_remove_cond__q30h117u,locked,gpt-5-router,12,12,2.4464393446710155,10
tkrajina__gpxpy.09fc46b3.func_pm_op_change__14tyl592,success,gpt-5-router,7,7,2.521640636343318,7
tkrajina__gpxpy.09fc46b3.func_pm_remove_loop__a1mdno79,success,gpt-5-router,13,13,2.121928094887362,10
tkrajina__gpxpy.09fc46b3.func_basic__tk6uj7lx,wandering,gpt-5-router,27,27,1.3609640474436813,10
tkrajina__gpxpy.09fc46b3.func_pm_op_change_const__25nwyn1m,success,gpt-5-router,6,6,2.584962500721156,6
tkrajina__gpxpy.09fc46b3.func_basic__risgss3z,success,gpt-5-router,12,12,2.1709505944546685,10
tkrajina__gpxpy.09fc46b3.func_pm_class_rm_funcs__xhgxmjjj,wandering,gpt-5-router,24,24,1.8464393446710154,10
theskumar__python-dotenv.2b8635b7.func_basic__ej1leqso,locked,gpt-5-router,6,6,2.2516291673878226,6
tkrajina__gpxpy.09fc46b3.func_pm_remove_cond__u7w4m9dk,success,gpt-5-router,21,21,1.3609640474436813,10
tkrajina__gpxpy.09fc46b3.func_pm_op_change_const__xenufrev,success,gpt-5-router,13,13,1.3609640474436813,10
tkrajina__gpxpy.09fc46b3.func_pm_ctrl_invert_if__yfmvfzba,success,gpt-5-router,8,8,2.5,8
theskumar__python-dotenv.2b8635b7.lm_rewrite__d722r1ex,locked,gpt-5-router,13,13,2.321928094887362,10
theskumar__python-dotenv.2b8635b7.func_basic__w69a6mfu,locked,gpt-5-router,12,12,1.9609640474436814,10
theskumar__python-dotenv.2b8635b7.func_basic__37ait6uo,locked,gpt-5-router,6,6,2.584962500721156,6
theskumar__python-dotenv.2b8635b7.combine_module__pc659uc0,locked,gpt-5-router,8,7,1.1488348542809166,7
theskumar__python-dotenv.2b8635b7.combine_module__ycftgjec,wandering,gpt-5-router,23,22,1.9609640474436814,10
theskumar__python-dotenv.2b8635b7.func_pm_remove_assign__i3tgb375,locked,gpt-5-router,9,9,2.2810361125534233,9
theskumar__python-dotenv.2b8635b7.combine_module__2z4oqp5k,locked,gpt-5-router,14,13,2.321928094887362,10
theskumar__python-dotenv.2b8635b7.combine_module__6ec1qz1l,locked,gpt-5-router,7,7,2.1280852788913944,7
theskumar__python-dotenv.2b8635b7.combine_file__y8lux9kt,locked,gpt-5-router,6,6,2.584962500721156,6
termcolor__termcolor.3a42086f.pr_65,success,gpt-5-router,9,9,2.4193819456463714,9
termcolor__termcolor.3a42086f.pr_44,locked,gpt-5-router,9,9,2.4193819456463714,9
termcolor__termcolor.3a42086f.func_basic__u7mdjl9x,success,gpt-5-router,13,13,1.9609640474436814,10
termcolor__termcolor.3a42086f.lm_rewrite__8e8u766x,success,gpt-5-router,9,9,2.197159723424149,9
termcolor__termcolor.3a42086f.pr_32,locked,gpt-5-router,8,8,2.1556390622295662,8
termcolor__termcolor.3a42086f.func_basic__j1e1skkr,success,gpt-5-router,6,6,2.2516291673878226,6
termcolor__termcolor.3a42086f.pr_38,success,gpt-5-router,8,8,2.1556390622295662,8
termcolor__termcolor.3a42086f.func_basic__85cw2fkp,locked,gpt-5-router,7,6,1.7924812503605778,6
termcolor__termcolor.3a42086f.combine_file__md93wzaw,success,gpt-5-router,18,18,2.446439344671015,10
termcolor__termcolor.3a42086f.combine_file__jvn23aeb,success,gpt-5-router,6,6,2.584962500721156,6
termcolor__termcolor.3a42086f.combine_file__7kshc2ts,locked,gpt-5-router,8,7,2.1280852788913944,7
sunpy__sunpy.f8edfd5c.func_pm_op_change__hopobvow,locked,gpt-5-router,11,10,2.046439344671015,10
sunpy__sunpy.f8edfd5c.func_pm_remove_cond__r5haybqm,locked,gpt-5-router,12,12,2.1180782093497093,11
sunpy__sunpy.f8edfd5c.func_pm_remove_cond__m7r7k2sn,locked,gpt-5-router,5,5,2.321928094887362,5
sunpy__sunpy.f8edfd5c.func_pm_ctrl_shuffle__ez35x6e5,locked,gpt-5-router,13,13,2.321928094887362,10
sunpy__sunpy.f8edfd5c.func_pm_remove_cond__4znp8rr3,locked,gpt-5-router,19,19,2.1180782093497093,11
sunpy__sunpy.f8edfd5c.func_pm_ctrl_shuffle__456gnfpm,locked,gpt-5-router,11,11,1.8464393446710154,10
sunpy__sunpy.f8edfd5c.combine_module__8s8vfb3s,locked,gpt-5-router,15,15,1.295461844238322,10
sunpy__sunpy.f8edfd5c.func_pm_ctrl_invert_if__9f5q7n3i,locked,gpt-5-router,9,8,2.75,8
sunpy__sunpy.f8edfd5c.func_pm_remove_assign__lqqslpzx,locked,gpt-5-router,19,19,1.9609640474436814,10
sunpy__sunpy.f8edfd5c.func_pm_ctrl_shuffle__3uyu9xkh,locked,gpt-5-router,9,9,2.6416041678685933,9
sunpy__sunpy.f8edfd5c.func_pm_remove_loop__dxpufi9g,locked,gpt-5-router,15,15,2.1219280948873624,10
stanfordnlp__dspy.651a4c71.pr_1964,locked,gpt-5-router,23,23,1.5709505944546687,10
stanfordnlp__dspy.651a4c71.pr_1895,locked,gpt-5-router,17,17,2.6464393446710157,10
stanfordnlp__dspy.651a4c71.func_pm_remove_cond__8u5wsixf,locked,gpt-5-router,12,12,1.5709505944546687,10
stanfordnlp__dspy.651a4c71.func_pm_remove_assign__qgzc3kjm,locked,gpt-5-router,6,6,2.584962500721156,6
stanfordnlp__dspy.651a4c71.pr_1744,locked,gpt-5-router,17,17,1.6854752972273346,10
stanfordnlp__dspy.651a4c71.func_pm_remove_assign__318w6dxd,locked,gpt-5-router,13,12,1.7709505944546688,10
stanfordnlp__dspy.651a4c71.func_pm_remove_assign__3nfphqz4,locked,gpt-5-router,6,6,2.2516291673878226,6
stanfordnlp__dspy.651a4c71.func_pm_remove_cond__z80fhwqh,locked,gpt-5-router,7,7,2.5216406363433186,7
stanfordnlp__dspy.651a4c71.func_pm_op_swap__toaiww5b,locked,gpt-5-router,6,6,2.584962500721156,6
stanfordnlp__dspy.651a4c71.func_pm_op_swap__5kfwln7x,locked,gpt-5-router,14,14,2.1609640474436813,10
stanfordnlp__dspy.651a4c71.func_pm_remove_assign__1iqqm2u9,locked,gpt-5-router,17,17,1.5709505944546687,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_remove_loop__d0lu0m4y,locked,gpt-5-router,12,12,1.9609640474436814,10
sqlfluff__sqlfluff.50a1c4b6.lm_rewrite__066drwlc,locked,gpt-5-router,8,8,2.5,8
sqlfluff__sqlfluff.50a1c4b6.func_pm_remove_loop__p5eqs5mh,locked,gpt-5-router,23,23,2.121928094887362,10
sqlfluff__sqlfluff.50a1c4b6.func_basic__ha3os9ap,locked,gpt-5-router,10,10,2.3709505944546687,10
sqlfluff__sqlfluff.50a1c4b6.combine_file__q6lmr21d,locked,gpt-5-router,10,10,1.8464393446710154,10
sqlfluff__sqlfluff.50a1c4b6.func_basic__a6jlb8pb,success,gpt-5-router,13,13,1.5709505944546687,10
sqlfluff__sqlfluff.50a1c4b6.func_basic__3o9zpzgc,success,gpt-5-router,18,18,1.6729330318733675,11
sqlfluff__sqlfluff.50a1c4b6.func_basic__5y5r296g,success,gpt-5-router,9,9,2.058813890331201,9
sqlfluff__sqlfluff.50a1c4b6.combine_file__8qa9op4u,locked,gpt-5-router,14,14,1.8464393446710154,10
spulec__freezegun.5f171db0.pr_489,locked,gpt-5-router,5,5,2.321928094887362,5
spulec__freezegun.5f171db0.pr_530,success,gpt-5-router,6,6,2.2516291673878226,6
spulec__freezegun.5f171db0.pr_493,success,gpt-5-router,9,9,2.4193819456463714,9
spulec__freezegun.5f171db0.func_basic__ta863g5s,success,gpt-5-router,15,14,2.4464393446710155,10
spulec__freezegun.5f171db0.lm_rewrite__b0ixukh7,success,gpt-5-router,13,13,1.6854752972273344,10
spulec__freezegun.5f171db0.func_pm_ctrl_shuffle__ql5q3yhc,success,gpt-5-router,10,10,1.8464393446710154,10
spulec__freezegun.5f171db0.combine_file__u10od2ts,success,gpt-5-router,7,7,2.807354922057604,7
spulec__freezegun.5f171db0.func_pm_op_swap__9ad3btja,success,gpt-5-router,9,9,2.113283334294875,9
spulec__freezegun.5f171db0.func_basic__hyt08iv0,success,gpt-5-router,7,7,2.2359263506290326,7
spulec__freezegun.5f171db0.func_basic__1wzhexnu,success,gpt-5-router,14,14,1.7219280948873623,10
sloria__environs.73c372df.lm_rewrite__6vgjmvjf,locked,gpt-5-router,14,14,2.3709505944546683,10
sloria__environs.73c372df.lm_rewrite__g0zaf5jy,success,gpt-5-router,21,21,2.1219280948873624,10
sloria__environs.73c372df.lm_rewrite__5vzce5g8,locked,gpt-5-router,12,12,2.3709505944546687,10
spulec__freezegun.5f171db0.combine_file__xb5m1muo,wandering,gpt-5-router,26,25,1.5219280948873621,10
sloria__environs.73c372df.func_basic__f7cz9dis,success,gpt-5-router,15,15,1.3709505944546687,10
sloria__environs.73c372df.func_basic__psy77r99,success,gpt-5-router,16,16,1.8464393446710154,10
sloria__environs.73c372df.func_pm_remove_assign__vzfyou6p,success,gpt-5-router,14,13,1.5219280948873621,10
sloria__environs.73c372df.func_pm_remove_cond__wfqwz4tv,wandering,gpt-5-router,13,13,2.0464393446710156,10
sloria__environs.73c372df.func_basic__tpe1nsmb,success,gpt-5-router,9,9,2.5032583347756456,9
seperman__deepdiff.ed252022.func_pm_remove_wrapper__yzqnedaz,success,gpt-5-router,11,11,2.1219280948873624,10
seperman__deepdiff.ed252022.func_pm_remove_loop__eh96pypw,wandering,gpt-5-router,16,16,2.1709505944546685,10
sloria__environs.73c372df.func_basic__mzupgb5q,success,gpt-5-router,10,10,2.0464393446710156,10
sloria__environs.73c372df.func_basic__d0kmskqm,success,gpt-5-router,11,11,2.321928094887362,10
sloria__environs.73c372df.func_basic__48gtzg50,success,gpt-5-router,27,26,2.3709505944546683,10
seperman__deepdiff.ed252022.func_pm_op_swap__a1e3codd,success,gpt-5-router,10,9,2.197159723424149,9
seperman__deepdiff.ed252022.func_pm_remove_assign__h3hhd378,success,gpt-5-router,10,10,2.4464393446710155,10
seperman__deepdiff.ed252022.func_pm_remove_assign__lmz3on57,success,gpt-5-router,19,19,1.8464393446710154,10
seperman__deepdiff.ed252022.lm_rewrite__emjelkgb,success,gpt-5-router,12,12,1.7219280948873623,10
seperman__deepdiff.ed252022.func_pm_op_change__nfcbavds,success,gpt-5-router,8,7,2.5216406363433186,7
seperman__deepdiff.ed252022.func_basic__vc779yz2,success,gpt-5-router,18,18,1.8464393446710154,10
seperman__deepdiff.ed252022.func_pm_ctrl_invert_if__pn5r3ylg,wandering,gpt-5-router,26,26,2.1709505944546685,10
seatgeek__thefuzz.8a05a3ee.pr_58,locked,gpt-5-router,9,9,2.5032583347756456,9
seperman__deepdiff.ed252022.combine_file__4wetuurf,locked,gpt-5-router,14,13,1.6854752972273344,10
seperman__deepdiff.ed252022.func_basic__b7cuzh7d,locked,gpt-5-router,9,9,2.058813890331201,9
seatgeek__thefuzz.8a05a3ee.func_basic__6rl84943,locked,gpt-5-router,13,13,0.9219280948873623,10
seatgeek__thefuzz.8a05a3ee.func_basic__9dj2djpz,success,gpt-5-router,10,10,2.4464393446710155,10
seatgeek__thefuzz.8a05a3ee.func_basic__3eo2l5au,success,gpt-5-router,10,10,1.8464393446710154,10
seatgeek__thefuzz.8a05a3ee.lm_rewrite__tzl04soz,success,gpt-5-router,8,8,1.9056390622295665,8
seatgeek__thefuzz.8a05a3ee.lm_rewrite__n9syntux,locked,gpt-5-router,12,12,1.8464393446710154,10
seatgeek__thefuzz.8a05a3ee.combine_file__usawjinw,success,gpt-5-router,14,14,0.9219280948873623,10
seatgeek__thefuzz.8a05a3ee.lm_rewrite__8m940ky9,locked,gpt-5-router,8,8,1.9056390622295665,8
seatgeek__thefuzz.8a05a3ee.combine_file__5s3frnhb,success,gpt-5-router,9,7,2.5216406363433186,7
seatgeek__thefuzz.8a05a3ee.combine_file__2uoca06x,success,gpt-5-router,11,11,1.6854752972273346,10
seatgeek__thefuzz.8a05a3ee.combine_file__e1efgbx1,wandering,gpt-5-router,22,21,2.4464393446710155,10
scrapy__scrapy.35212ec5.pr_5705,wandering,gpt-5-router,23,22,1.8464393446710154,10
scrapy__scrapy.35212ec5.func_pm_ctrl_invert_if__na6bz43f,success,gpt-5-router,11,11,2.321928094887362,10
scrapy__scrapy.35212ec5.pr_5952,success,gpt-5-router,8,8,2.1556390622295662,8
scrapy__scrapy.35212ec5.lm_rewrite__2ekz5nz1,locked,gpt-5-router,20,20,1.3567796494470397,10
scanny__python-pptx.278b47b1.func_pm_remove_cond__4rxdidps,success,gpt-5-router,7,7,2.521640636343318,7
scrapy__scrapy.35212ec5.func_pm_remove_assign__c7swzjwm,success,gpt-5-router,13,13,1.9609640474436814,10
scrapy__scrapy.35212ec5.func_pm_class_rm_base__dl0ogmuo,success,gpt-5-router,5,5,1.9219280948873623,5
scanny__python-pptx.278b47b1.func_pm_remove_cond__hf7rb6nj,locked,gpt-5-router,7,7,2.5216406363433186,7
scrapy__scrapy.35212ec5.func_pm_remove_cond__jwp4lc0o,success,gpt-5-router,11,11,2.2464393446710154,10
scanny__python-pptx.278b47b1.func_basic__pin3646s,success,gpt-5-router,11,9,2.725480556997868,9
scanny__python-pptx.278b47b1.func_basic__n92r9sf9,success,gpt-5-router,18,18,1.0,10
scanny__python-pptx.278b47b1.func_basic__30cnkjet,locked,gpt-5-router,12,12,1.7609640474436812,10
scanny__python-pptx.278b47b1.func_basic__j3xesjkm,success,gpt-5-router,11,11,2.3709505944546687,10
scanny__python-pptx.278b47b1.func_basic__sqz04ezg,locked,gpt-5-router,8,8,-0.0,8
scanny__python-pptx.278b47b1.func_basic__i6asdenw,success,gpt-5-router,9,9,2.5032583347756456,9
scanny__python-pptx.278b47b1.combine_module__5rc29hr8,locked,gpt-5-router,15,15,2.321928094887362,10
scanny__python-pptx.278b47b1.combine_file__zxuuxi50,locked,gpt-5-router,17,17,0.4689955935892812,10
scanny__python-pptx.278b47b1.combine_file__hzdisxng,locked,gpt-5-router,7,7,1.6644977792004614,7
rustedpy__result.0b855e1e.func_basic__xhu5lhzl,success,gpt-5-router,10,10,2.3709505944546687,10
rustedpy__result.0b855e1e.func_basic__v758bnck,success,gpt-5-router,14,14,2.321928094887362,10
rustedpy__result.0b855e1e.func_basic__r59w93v7,locked,gpt-5-router,8,8,2.5,8
rustedpy__result.0b855e1e.func_basic__gqnc727i,success,gpt-5-router,9,9,2.0588138903312014,9
rustedpy__result.0b855e1e.func_basic__k1hxscvg,success,gpt-5-router,6,6,2.2516291673878226,6
rustedpy__result.0b855e1e.func_basic__a08yc6gq,success,gpt-5-router,8,8,2.75,8
rustedpy__result.0b855e1e.func_basic__jociwgtc,success,gpt-5-router,7,7,2.5216406363433186,7
rustedpy__result.0b855e1e.combine_file__vkyo92k2,success,gpt-5-router,7,7,1.8423709931771088,7
rustedpy__result.0b855e1e.func_basic__6rlg03xl,success,gpt-5-router,7,7,2.2359263506290326,7
rustedpy__result.0b855e1e.func_basic__08l7xwcj,success,gpt-5-router,8,8,1.061278124459133,8
rubik__radon.54b88e58.func_pm_remove_wrapper__4xvw25gf,success,gpt-5-router,8,8,2.75,8
rustedpy__result.0b855e1e.func_basic__6jm5kqa2,success,gpt-5-router,8,7,2.2359263506290326,7
rubik__radon.54b88e58.lm_rewrite__w6fqax16,success,gpt-5-router,8,8,1.811278124459133,8
rubik__radon.54b88e58.func_pm_class_rm_base__s6b1xy3n,success,gpt-5-router,8,8,2.4056390622295662,8
rubik__radon.54b88e58.func_pm_op_break_chains__juek9ifn,locked,gpt-5-router,7,7,1.3787834934861753,7
rubik__radon.54b88e58.func_basic__uxrjf4g9,success,gpt-5-router,9,9,2.058813890331201,9
rubik__radon.54b88e58.func_basic__socu5r7r,locked,gpt-5-router,9,9,1.224394445405986,9
rubik__radon.54b88e58.func_basic__nzgyynlz,success,gpt-5-router,10,10,2.3709505944546687,10
rubik__radon.54b88e58.func_basic__h54i9qpj,success,gpt-5-router,21,21,1.8464393446710154,10
rubik__radon.54b88e58.func_basic__loqufwte,success,gpt-5-router,7,7,2.1280852788913944,7
rubik__radon.54b88e58.combine_module__eqhtnsww,locked,gpt-5-router,16,15,2.1709505944546685,10
rsalmei__alive-progress.35853799.func_pm_op_change_const__9yqh2fxx,wandering,gpt-5-router,11,11,1.2406705316766884,11
rubik__radon.54b88e58.combine_file__aeuepbc6,locked,gpt-5-router,6,6,2.251629167387823,6
rsalmei__alive-progress.35853799.func_pm_op_swap__yhrzk0ye,success,gpt-5-router,14,14,2.4591479170272446,12
rsalmei__alive-progress.35853799.func_pm_remove_cond__xqxnbio3,success,gpt-5-router,15,15,2.721928094887362,10
rsalmei__alive-progress.35853799.combine_module__0n8120gw,wandering,gpt-5-router,16,16,2.0464393446710156,10
rsalmei__alive-progress.35853799.combine_file__jmo32fgc,wandering,gpt-5-router,15,15,1.9609640474436814,10
rsalmei__alive-progress.35853799.func_basic__vrac77gl,locked,gpt-5-router,10,10,2.4464393446710155,10
rsalmei__alive-progress.35853799.combine_file__hlzdjhy3,wandering,gpt-5-router,12,12,2.121928094887362,10
rsalmei__alive-progress.35853799.func_basic__2hpnb5rf,locked,gpt-5-router,14,14,1.295461844238322,10
rsalmei__alive-progress.35853799.combine_file__76dsf3ur,success,gpt-5-router,7,7,2.5216406363433186,7
rsalmei__alive-progress.35853799.func_pm_remove_cond__53dhdqp9,success,gpt-5-router,20,19,1.3567796494470397,10
rsalmei__alive-progress.35853799.func_basic__mr5nt2mi,success,gpt-5-router,9,9,2.4193819456463714,9
r1chardj0n3s__parse.30da9e4f.func_pm_remove_cond__hp492bfs,wandering,gpt-5-router,20,19,2.1709505944546685,10
r1chardj0n3s__parse.30da9e4f.func_pm_remove_cond__kpbvg5hc,locked,gpt-5-router,8,8,2.1556390622295662,8
r1chardj0n3s__parse.30da9e4f.func_pm_remove_cond__208g0pe1,locked,gpt-5-router,11,11,2.0464393446710156,10
r1chardj0n3s__parse.30da9e4f.func_pm_remove_assign__34l01bak,locked,gpt-5-router,25,25,1.8954618442383218,10
r1chardj0n3s__parse.30da9e4f.func_basic__fzfnw3uy,locked,gpt-5-router,11,11,1.8464393446710154,10
r1chardj0n3s__parse.30da9e4f.func_basic__agjn8p50,locked,gpt-5-router,12,12,1.6854752972273344,10
r1chardj0n3s__parse.30da9e4f.func_basic__xood6ttn,locked,gpt-5-router,8,8,2.0,8
r1chardj0n3s__parse.30da9e4f.func_pm_remove_assign__1tu138xh,locked,gpt-5-router,8,8,2.1556390622295662,8
pyutils__line_profiler.a646bf0f.lm_rewrite__0oz7n2aa,locked,gpt-5-router,9,9,2.5032583347756456,9
r1chardj0n3s__parse.30da9e4f.func_pm_ctrl_invert_if__xoo5ejaa,locked,gpt-5-router,16,15,2.1219280948873624,10
pyutils__line_profiler.a646bf0f.func_pm_remove_assign__vkqk57et,locked,gpt-5-router,12,11,1.6854752972273346,10
pyutils__line_profiler.a646bf0f.func_pm_op_break_chains__viq255lr,locked,gpt-5-router,17,17,2.321928094887362,10
r1chardj0n3s__parse.30da9e4f.func_pm_class_rm_funcs__wz1d9ca4,locked,gpt-5-router,9,9,2.4193819456463714,9
r1chardj0n3s__parse.30da9e4f.func_basic__5so622mn,locked,gpt-5-router,5,5,2.321928094887362,5
