iid,sub_class,exit_status,n_turns,n_tools_last10,tool_entropy_last10,tool_diversity_last10,tool_repetition_last10
asottile__pyupgrade-545,wandering,submitted (exit_context),28,10,1.9219280948873623,0.4,0.4
asottile__pyupgrade-545,wandering,submitted (exit_context),128,10,0.7219280948873623,0.2,0.8
asottile__pyupgrade-545,wandering,submitted (exit_context),43,10,1.5709505944546684,0.3,0.4
asottile__pyupgrade-545,wandering,submitted (exit_context),167,10,1.0,0.2,0.5
asottile__pyupgrade-545,wandering,submitted (exit_context),114,10,0.9709505944546686,0.2,0.6
asottile__pyupgrade-545,wandering,submitted (exit_context),33,10,1.9609640474436811,0.5,0.5
asottile__pyupgrade-890,wandering,submitted (exit_context),55,10,0.8812908992306927,0.2,0.7
auth0__auth0-python-477,wandering,submitted (exit_context),41,10,0.0,0.1,1.0
auth0__auth0-python-477,wandering,submitted (exit_context),35,10,0.0,0.1,1.0
auth0__auth0-python-477,wandering,submitted (exit_context),45,10,1.0,0.2,0.5
aws-cloudformation__cloudformation-cli-python-plugin-236,wandering,submitted (exit_context),110,10,0.0,0.1,1.0
aws-cloudformation__cloudformation-cli-python-plugin-236,wandering,submitted (exit_context),11,10,2.921928094887362,0.8,0.2
aws-cloudformation__cloudformation-cli-python-plugin-236,wandering,submitted (exit_context),49,10,0.8812908992306927,0.2,0.7
aws-cloudformation__cloudformation-cli-python-plugin-236,wandering,submitted (exit_context),24,10,1.4854752972273344,0.3,0.5
aws-cloudformation__cloudformation-cli-python-plugin-236,wandering,submitted (exit_context),33,10,1.0,0.2,0.5
aws-cloudformation__cloudformation-cli-python-plugin-236,wandering,submitted (exit_context),78,10,1.9219280948873623,0.4,0.4
benjamincorcoran__sasdocs-41,wandering,submitted (exit_context),59,10,1.895461844238322,0.4,0.3
benjamincorcoran__sasdocs-41,wandering,submitted (exit_context),54,10,2.121928094887362,0.5,0.4
benjamincorcoran__sasdocs-41,wandering,submitted (exit_context),63,10,1.5709505944546684,0.3,0.4
bihealth__biomedsheets-23,wandering,submitted (exit_context),55,10,1.0,0.2,0.5
casbin__pycasbin-53,wandering,submitted (exit_context),21,10,1.9709505944546686,0.4,0.3
cytomining__pycytominer-62,wandering,submitted (exit_context),21,10,0.0,0.1,1.0
cytomining__pycytominer-62,wandering,submitted (exit_context),33,10,0.0,0.1,1.0
cytomining__pycytominer-62,wandering,submitted (exit_context),21,10,0.4689955935892812,0.2,0.9
delph-in__pydelphin-362,wandering,submitted (exit_context),57,10,1.0,0.2,0.5
delph-in__pydelphin-362,wandering,submitted (exit_context),39,10,0.0,0.1,1.0
delph-in__pydelphin-362,wandering,submitted (exit_context),42,10,0.8812908992306927,0.2,0.7
delph-in__pydelphin-362,wandering,submitted (exit_context),37,10,2.321928094887362,0.6,0.4
delph-in__pydelphin-362,wandering,submitted (exit_context),20,10,2.1709505944546685,0.5,0.3
delph-in__pydelphin-362,wandering,submitted (exit_context),48,10,1.9609640474436814,0.5,0.5
fairlearn__fairlearn-896,wandering,submitted (exit_context),16,10,1.7219280948873623,0.4,0.4
fairlearn__fairlearn-896,wandering,submitted (exit_context),43,10,1.0,0.2,0.5
google__latexify_py-67,wandering,submitted (exit_context),29,10,1.0,0.2,0.5
google__latexify_py-67,wandering,submitted (exit_context),41,10,0.0,0.1,1.0
google__latexify_py-67,wandering,submitted (exit_context),24,10,0.0,0.1,1.0
google__latexify_py-67,wandering,submitted (exit_context),49,10,1.0,0.2,0.5
google__latexify_py-67,wandering,submitted (exit_context),27,10,1.0,0.2,0.5
google__mobly-472,wandering,submitted (exit_context),39,10,1.8464393446710154,0.4,0.4
hugovk__pypistats-41,wandering,submitted (exit_context),35,10,1.0,0.2,0.5
hugovk__pypistats-41,wandering,submitted (exit_context),37,10,1.0,0.2,0.5
hugovk__pypistats-41,wandering,submitted (exit_context),41,10,1.0,0.2,0.5
iris-hep__func_adl-116,wandering,submitted (exit_context),52,10,1.6854752972273346,0.4,0.5
iris-hep__func_adl-116,wandering,submitted (exit_context),30,10,0.0,0.1,1.0
iterative__dvc-3462,wandering,submitted (exit_context),42,10,0.0,0.1,1.0
iterative__dvc-3462,wandering,submitted (exit_context),114,10,0.8812908992306927,0.2,0.7
iterative__dvc-3462,wandering,submitted (exit_context),32,10,2.5219280948873624,0.6,0.2
iterative__dvc-3462,wandering,submitted (exit_context),85,10,1.4854752972273344,0.3,0.5
iterative__dvc-5785,wandering,submitted (exit_context),136,10,0.4689955935892812,0.2,0.9
iterative__dvc-5785,wandering,submitted (exit_context),42,10,1.3567796494470394,0.4,0.7
iterative__dvc-6303,wandering,submitted (exit_context),46,10,0.0,0.1,1.0
iterative__dvc-6303,wandering,submitted (exit_context),59,10,1.5219280948873621,0.3,0.4
iterative__dvc-6303,wandering,submitted (exit_context),53,10,0.0,0.1,1.0
iterative__dvc-7205,wandering,submitted (exit_context),65,10,0.0,0.1,1.0
iterative__dvc-7205,wandering,submitted (exit_context),61,10,0.0,0.1,1.0
iterative__dvc-7205,wandering,submitted (exit_context),55,10,0.0,0.1,1.0
iterative__dvc-7205,wandering,submitted (exit_context),31,10,0.0,0.1,1.0
iterative__dvc-7205,wandering,submitted (exit_context),61,10,0.0,0.1,1.0
iterative__dvc-7205,wandering,submitted (exit_context),44,10,0.0,0.1,1.0
just-work__fffw-100,wandering,submitted (exit_context),11,10,2.8464393446710154,0.8,0.3
just-work__fffw-100,wandering,submitted (exit_context),222,10,1.1567796494470395,0.3,0.7
matchms__matchms-187,wandering,submitted (exit_context),48,10,1.3609640474436813,0.3,0.5
matchms__matchms-187,wandering,submitted (exit_context),137,10,0.0,0.1,1.0
matchms__matchms-187,wandering,submitted (exit_context),18,10,1.295461844238322,0.3,0.6
meerk40t__svgelements-183,wandering,submitted (exit_context),48,10,1.3609640474436813,0.3,0.5
meerk40t__svgelements-183,wandering,submitted (exit_context),35,10,1.0,0.2,0.5
meerk40t__svgelements-183,wandering,submitted (exit_context),39,10,0.9219280948873623,0.3,0.8
meerk40t__svgelements-183,wandering,submitted (exit_context),40,10,2.0464393446710156,0.5,0.4
meerk40t__svgelements-183,wandering,submitted (exit_context),37,10,2.1219280948873624,0.5,0.4
meerk40t__svgelements-183,wandering,submitted (exit_context),28,10,0.7219280948873623,0.2,0.8
nipy__nipype-2597,wandering,submitted (exit_context),87,10,1.0,0.2,0.5
nipy__nipype-2597,wandering,submitted (exit_context),57,10,1.9709505944546686,0.4,0.3
nipy__nipype-2597,wandering,submitted (exit_context),46,10,0.7219280948873623,0.2,0.8
nipy__nipype-2597,wandering,submitted (exit_context),23,10,0.8812908992306927,0.2,0.7
nose-devs__nose2-472,wandering,submitted (exit_context),148,10,1.8464393446710154,0.4,0.4
nose-devs__nose2-472,wandering,submitted (exit_context),31,10,0.0,0.1,1.0
nose-devs__nose2-472,wandering,submitted (exit_context),58,10,1.9219280948873623,0.4,0.4
nose-devs__nose2-472,wandering,submitted (exit_context),59,10,2.4464393446710155,0.6,0.3
nose-devs__nose2-472,wandering,submitted (exit_context),33,10,1.5709505944546684,0.3,0.4
nose-devs__nose2-472,wandering,submitted (exit_context),26,10,1.5709505944546684,0.3,0.4
nose-devs__nose2-472,wandering,submitted (exit_context),24,10,0.0,0.1,1.0
nose-devs__nose2-472,wandering,submitted (exit_context),45,10,2.1219280948873624,0.5,0.4
nose-devs__nose2-472,wandering,submitted (exit_context),51,10,1.9219280948873623,0.4,0.4
oasis-open__cti-python-stix2-74,wandering,submitted (exit_context),56,10,1.5219280948873621,0.3,0.4
oasis-open__cti-python-stix2-74,wandering,submitted (exit_context),23,10,0.9709505944546686,0.2,0.6
oasis-open__cti-python-stix2-74,wandering,submitted (exit_context),44,10,1.5709505944546684,0.3,0.4
oasis-open__cti-python-stix2-74,wandering,submitted (exit_context),69,10,0.0,0.1,1.0
oasis-open__cti-python-stix2-74,wandering,submitted (exit_context),54,10,0.0,0.1,1.0
omni-us__jsonargparse-176,wandering,submitted (exit_context),31,10,0.0,0.1,1.0
omni-us__jsonargparse-176,wandering,submitted (exit_context),38,10,2.4464393446710155,0.6,0.3
omni-us__jsonargparse-176,wandering,submitted (exit_context),40,10,0.4689955935892812,0.2,0.9
omni-us__jsonargparse-176,wandering,submitted (exit_context),48,10,1.9219280948873623,0.4,0.4
omni-us__jsonargparse-176,wandering,submitted (exit_context),272,10,0.0,0.1,1.0
omni-us__jsonargparse-176,wandering,submitted (exit_context),32,10,1.295461844238322,0.3,0.6
pact-foundation__pact-python-94,wandering,submitted (exit_context),125,10,1.0,0.2,0.5
pact-foundation__pact-python-94,wandering,submitted (exit_context),43,10,0.0,0.1,1.0
peterbe__premailer-218,wandering,submitted (exit_context),48,10,0.0,0.1,1.0
peterbe__premailer-218,wandering,submitted (exit_context),47,10,0.0,0.1,1.0
peterbe__premailer-218,wandering,submitted (exit_context),34,10,0.0,0.1,1.0
peterbe__premailer-218,wandering,submitted (exit_context),36,10,1.5709505944546684,0.3,0.4
peterbe__premailer-218,wandering,submitted (exit_context),41,10,0.0,0.1,1.0
planetlabs__planet-client-python-621,wandering,submitted (exit_context),27,10,0.0,0.1,1.0
planetlabs__planet-client-python-621,wandering,submitted (exit_context),14,10,0.9219280948873623,0.3,0.8
planetlabs__planet-client-python-621,wandering,submitted (exit_context),40,10,1.0,0.2,0.5
ppizarror__pygame-menu-357,wandering,submitted (exit_context),44,10,1.8464393446710154,0.4,0.4
ppizarror__pygame-menu-357,wandering,submitted (exit_context),44,10,0.9709505944546686,0.2,0.6
ppizarror__pygame-menu-357,wandering,submitted (exit_context),91,10,0.9709505944546686,0.2,0.6
ppizarror__pygame-menu-357,wandering,submitted (exit_context),66,10,0.0,0.1,1.0
ppizarror__pygame-menu-357,wandering,submitted (exit_context),68,10,0.0,0.1,1.0
ppizarror__pygame-menu-357,wandering,submitted (exit_context),64,10,0.8812908992306927,0.2,0.7
pre-commit__pre-commit-1707,wandering,submitted (exit_context),33,10,1.295461844238322,0.3,0.6
pvlib__pvlib-python-1296,wandering,submitted (exit_context),38,10,0.7219280948873623,0.2,0.8
pydantic__pydantic-1989,wandering,submitted (exit_context),34,10,1.5709505944546684,0.3,0.4
pydantic__pydantic-1989,wandering,submitted (exit_context),91,10,1.0,0.2,0.5
pydantic__pydantic-4350,wandering,submitted (exit_context),11,10,2.721928094887362,0.7,0.2
pydantic__pydantic-4350,wandering,submitted (exit_context),23,10,0.0,0.1,1.0
python-visualization__folium-1633,wandering,submitted (exit_context),26,10,0.0,0.1,1.0
python-visualization__folium-1633,wandering,submitted (exit_context),39,10,0.8812908992306927,0.2,0.7
python-visualization__folium-1633,wandering,submitted (exit_context),34,10,0.9709505944546686,0.2,0.6
python-visualization__folium-1633,wandering,submitted (exit_context),25,10,0.0,0.1,1.0
python-visualization__folium-1633,wandering,submitted (exit_context),33,10,1.0,0.2,0.5
pyvista__pyvista-432,wandering,submitted (exit_context),64,10,0.8812908992306927,0.2,0.7
reata__sqllineage-17,wandering,submitted (exit_context),40,10,2.321928094887362,0.6,0.4
reata__sqllineage-17,wandering,submitted (exit_context),27,10,0.8812908992306927,0.2,0.7
reata__sqllineage-17,wandering,submitted (exit_context),32,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),34,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),26,10,1.5709505944546684,0.3,0.4
reata__sqllineage-17,wandering,submitted (exit_context),21,10,0.0,0.1,1.0
reata__sqllineage-17,wandering,submitted (exit_context),38,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),37,10,0.0,0.1,1.0
reata__sqllineage-17,wandering,submitted (exit_context),29,10,1.8464393446710154,0.4,0.4
reata__sqllineage-17,wandering,submitted (exit_context),43,10,1.7219280948873623,0.4,0.4
reata__sqllineage-17,wandering,submitted (exit_context),116,10,0.9219280948873623,0.3,0.8
reata__sqllineage-17,wandering,submitted (exit_context),21,10,1.360964047443681,0.3,0.5
reata__sqllineage-17,wandering,submitted (exit_context),39,10,1.5709505944546684,0.3,0.4
reata__sqllineage-17,wandering,submitted (exit_context),42,10,0.8812908992306927,0.2,0.7
reata__sqllineage-17,wandering,submitted (exit_context),39,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),42,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),29,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),23,10,1.7709505944546688,0.5,0.6
reata__sqllineage-17,wandering,submitted (exit_context),32,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),170,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),37,10,0.0,0.1,1.0
reata__sqllineage-17,wandering,submitted (exit_context),36,10,0.0,0.1,1.0
reata__sqllineage-17,wandering,submitted (exit_context),20,10,0.0,0.1,1.0
reata__sqllineage-17,wandering,submitted (exit_context),55,10,2.321928094887362,0.6,0.4
reata__sqllineage-17,wandering,submitted (exit_context),39,10,1.5709505944546684,0.3,0.4
reata__sqllineage-17,wandering,submitted (exit_context),20,10,0.4689955935892812,0.2,0.9
reata__sqllineage-17,wandering,submitted (exit_context),36,10,1.5219280948873621,0.3,0.4
reata__sqllineage-17,wandering,submitted (exit_context),32,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),51,10,0.0,0.1,1.0
reata__sqllineage-17,wandering,submitted (exit_context),31,10,1.0,0.2,0.5
reata__sqllineage-17,wandering,submitted (exit_context),27,10,0.0,0.1,1.0
reata__sqllineage-17,wandering,submitted (exit_context),50,10,0.9709505944546686,0.2,0.6
reata__sqllineage-17,wandering,submitted (exit_context),30,10,0.0,0.1,1.0
reata__sqllineage-17,wandering,submitted (exit_context),33,10,1.0,0.2,0.5
robotpy__robotpy-cppheaderparser-28,wandering,submitted (exit_context),158,10,0.0,0.1,1.0
robotpy__robotpy-cppheaderparser-28,wandering,submitted (exit_context),49,10,1.7609640474436812,0.4,0.5
robotpy__robotpy-cppheaderparser-28,wandering,submitted (exit_context),44,10,2.321928094887362,0.6,0.4
robotpy__robotpy-cppheaderparser-28,wandering,submitted (exit_context),53,10,1.5709505944546684,0.3,0.4
robotpy__robotpy-cppheaderparser-28,wandering,submitted (exit_context),132,10,0.0,0.1,1.0
robotpy__robotpy-cppheaderparser-28,wandering,submitted (exit_context),71,10,2.4464393446710155,0.6,0.3
robotpy__robotpy-cppheaderparser-28,wandering,submitted (exit_context),26,10,0.4689955935892812,0.2,0.9
robotpy__robotpy-cppheaderparser-28,wandering,submitted (exit_context),19,10,2.6464393446710153,0.7,0.3
robotpy__robotpy-cppheaderparser-28,wandering,submitted (exit_context),147,10,0.0,0.1,1.0
scikit-hep__cabinetry-396,wandering,submitted (exit_context),42,10,0.8812908992306927,0.2,0.7
scikit-hep__cabinetry-396,wandering,submitted (exit_context),44,10,0.8812908992306927,0.2,0.7
scikit-hep__cabinetry-396,wandering,submitted (exit_context),53,10,0.4689955935892812,0.2,0.9
scikit-hep__cabinetry-396,wandering,submitted (exit_context),45,10,0.8812908992306927,0.2,0.7
scikit-hep__cabinetry-396,wandering,submitted (exit_context),49,10,1.0,0.2,0.5
scrapy__itemadapter-18,wandering,submitted (exit_context),26,10,1.5709505944546684,0.3,0.4
scrapy__itemadapter-18,wandering,submitted (exit_context),21,10,0.0,0.1,1.0
scrapy__itemadapter-18,wandering,submitted (exit_context),38,10,1.3609640474436813,0.3,0.5
serge-sans-paille__beniget-70,wandering,submitted (exit_context),40,10,0.8812908992306927,0.2,0.7
serge-sans-paille__beniget-70,wandering,submitted (exit_context),95,10,0.8812908992306927,0.2,0.7
serge-sans-paille__beniget-70,wandering,submitted (exit_context),30,10,0.0,0.1,1.0
serge-sans-paille__beniget-70,wandering,submitted (exit_context),36,10,0.9709505944546686,0.2,0.6
serge-sans-paille__beniget-70,wandering,submitted (exit_context),55,10,2.2464393446710154,0.5,0.3
serge-sans-paille__beniget-70,wandering,submitted (exit_context),50,10,1.0,0.2,0.5
serge-sans-paille__gast-59,wandering,submitted (exit_context),49,10,1.0,0.2,0.5
serge-sans-paille__gast-59,wandering,submitted (exit_context),40,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),46,10,0.7219280948873623,0.2,0.8
serge-sans-paille__gast-59,wandering,submitted (exit_context),130,10,1.8464393446710154,0.4,0.4
serge-sans-paille__gast-59,wandering,submitted (exit_context),54,10,1.0,0.2,0.5
serge-sans-paille__gast-59,wandering,submitted (exit_context),49,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),45,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),67,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),50,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),34,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),55,10,1.5219280948873621,0.3,0.4
serge-sans-paille__gast-59,wandering,submitted (exit_context),28,10,2.6464393446710153,0.7,0.3
serge-sans-paille__gast-59,wandering,submitted (exit_context),48,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),37,10,0.8812908992306927,0.2,0.7
serge-sans-paille__gast-59,wandering,submitted (exit_context),38,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),56,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),29,10,0.4689955935892812,0.2,0.9
serge-sans-paille__gast-59,wandering,submitted (exit_context),31,10,1.5709505944546684,0.3,0.4
serge-sans-paille__gast-59,wandering,submitted (exit_context),40,10,1.0,0.2,0.5
serge-sans-paille__gast-59,wandering,submitted (exit_context),24,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),62,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),23,10,0.4689955935892812,0.2,0.9
serge-sans-paille__gast-59,wandering,submitted (exit_context),30,10,2.3709505944546687,0.6,0.3
serge-sans-paille__gast-59,wandering,submitted (exit_context),38,10,0.0,0.1,1.0
serge-sans-paille__gast-59,wandering,submitted (exit_context),39,10,1.5709505944546684,0.3,0.4
sqlfluff__sqlfluff-3354,wandering,submitted (exit_context),56,10,0.8812908992306927,0.2,0.7
tobymao__sqlglot-2582,wandering,submitted (exit_context),36,10,0.8812908992306927,0.2,0.7
tobymao__sqlglot-2582,wandering,submitted (exit_context),36,10,1.6854752972273346,0.4,0.5
tobymao__sqlglot-2582,wandering,submitted (exit_context),53,10,0.0,0.1,1.0
tobymao__sqlglot-2582,wandering,submitted (exit_context),14,10,1.721928094887362,0.4,0.4
tobymao__sqlglot-2582,wandering,submitted (exit_context),33,10,1.8464393446710154,0.4,0.4
tobymao__sqlglot-2582,wandering,submitted (exit_context),62,10,0.0,0.1,1.0
tobymao__sqlglot-2582,wandering,submitted (exit_context),167,10,0.9709505944546686,0.2,0.6
tobymao__sqlglot-2582,wandering,submitted (exit_context),40,10,1.0,0.2,0.5
tobymao__sqlglot-2591,wandering,submitted (exit_context),33,10,1.7219280948873623,0.4,0.4
tobymao__sqlglot-2591,wandering,submitted (exit_context),91,10,1.5219280948873621,0.3,0.4
tobymao__sqlglot-2591,wandering,submitted (exit_context),35,10,1.3709505944546687,0.3,0.6
tobymao__sqlglot-2591,wandering,submitted (exit_context),36,10,0.4689955935892812,0.2,0.9
tobymao__sqlglot-2591,wandering,submitted (exit_context),41,10,1.4854752972273344,0.3,0.5
tobymao__sqlglot-2591,wandering,submitted (exit_context),36,10,0.8812908992306927,0.2,0.7
tobymao__sqlglot-2591,wandering,submitted (exit_context),31,10,0.0,0.1,1.0
Backblaze__B2_Command_Line_Tool-180,wandering,submitted (exit_context),23,10,1.5709505944546684,0.3,0.4
Backblaze__B2_Command_Line_Tool-180,wandering,submitted (exit_context),6,6,2.2516291673878226,0.8333333333333334,0.3333333333333333
Backblaze__B2_Command_Line_Tool-180,wandering,submitted (exit_context),177,10,0.0,0.1,1.0
Backblaze__B2_Command_Line_Tool-180,wandering,submitted (exit_context),34,10,0.9219280948873623,0.3,0.8
Backblaze__B2_Command_Line_Tool-180,wandering,submitted (exit_context),70,10,1.0,0.2,0.5
Backblaze__B2_Command_Line_Tool-180,wandering,submitted (exit_context),7,7,1.5566567074628228,0.42857142857142855,0.42857142857142855
Backblaze__B2_Command_Line_Tool-180,wandering,submitted (exit_context),91,10,1.0,0.2,0.5
Backblaze__B2_Command_Line_Tool-180,wandering,submitted (exit_context),51,10,2.321928094887362,0.5,0.2
DCC-Lab__RayTracing-196,wandering,submitted (exit_context),47,10,1.8464393446710154,0.4,0.4
DCC-Lab__RayTracing-196,wandering,submitted (exit_context),36,10,0.7219280948873623,0.2,0.8
DCC-Lab__RayTracing-196,wandering,submitted (exit_context),48,10,2.1219280948873624,0.5,0.4
DCC-Lab__RayTracing-196,wandering,submitted (exit_context),48,10,0.4689955935892812,0.2,0.9
DCC-Lab__RayTracing-196,wandering,submitted (exit_context),37,10,0.0,0.1,1.0
DCC-Lab__RayTracing-196,wandering,submitted (exit_context),41,10,0.0,0.1,1.0
DCC-Lab__RayTracing-273,wandering,submitted (exit_context),29,10,0.0,0.1,1.0
DCC-Lab__RayTracing-273,wandering,submitted (exit_context),41,10,1.4854752972273344,0.3,0.5
J-CPelletier__webcomix-7,wandering,submitted (exit_context),46,10,1.5709505944546684,0.3,0.4
J-CPelletier__webcomix-7,wandering,submitted (exit_context),50,10,1.4854752972273344,0.3,0.5
J-CPelletier__webcomix-7,wandering,submitted (exit_context),49,10,1.0,0.2,0.5
J-CPelletier__webcomix-7,wandering,submitted (exit_context),52,10,2.1219280948873624,0.5,0.4
J-CPelletier__webcomix-7,wandering,submitted (exit_context),31,10,0.0,0.1,1.0
PyCQA__pyflakes-729,wandering,submitted (exit_context),27,10,0.0,0.1,1.0
PyCQA__pyflakes-729,wandering,submitted (exit_context),29,10,2.5219280948873624,0.6,0.2
