iid,sub_class,model,n_msgs,n_turns_extracted,tool_entropy_last10,n_tools_last10
arrow-py__arrow.1d70d009.lm_rewrite__esmzl91a,success,claude-3-7-sonnet-20250219,71,35,1.3709505944546687,10
dbader__schedule.82a43db1.lm_rewrite__er3jyl8a,success,claude-3-7-sonnet-20250219,27,13,2.1219280948873624,10
mahmoud__glom.fb3c4e76.lm_rewrite__ktcnvi6x,locked,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
lepture__mistune.bf54ef67.lm_rewrite__u9gus5ea,wandering,claude-3-7-sonnet-20250219,67,33,1.7609640474436812,10
cookiecutter__cookiecutter.b4451231.lm_rewrite__qbnjw2dl,wandering,claude-3-7-sonnet-20250219,27,13,1.7609640474436812,10
PyCQA__flake8.cf1542ce.lm_rewrite__ubbfjoyo,wandering,claude-3-7-sonnet-20250219,51,25,1.3709505944546687,10
joke2k__faker.8b401a7d.lm_rewrite__2ofipk7n,success,claude-3-7-sonnet-20250219,53,26,1.7609640474436812,10
facebookresearch__fvcore.a491d5b9.lm_rewrite__a7drkdz7,wandering,claude-3-7-sonnet-20250219,49,24,1.5219280948873621,10
cknd__stackprinter.219fcc52.lm_rewrite__ss6i64s1,wandering,claude-3-7-sonnet-20250219,75,37,1.8464393446710154,10
gruns__furl.da386f68.lm_rewrite__5kspuvuh,success,claude-3-7-sonnet-20250219,101,50,1.9609640474436814,10
john-kurkowski__tldextract.3d1bf184.lm_rewrite__s1hee5zl,success,claude-3-7-sonnet-20250219,77,38,0.7219280948873623,10
python-openxml__python-docx.0cf6d71f.lm_rewrite__4ptt0wt4,success,claude-3-7-sonnet-20250219,33,16,1.7609640474436812,10
paramiko__paramiko.23f92003.lm_rewrite__nkti4duq,success,claude-3-7-sonnet-20250219,107,53,1.8464393446710154,10
spulec__freezegun.5f171db0.lm_rewrite__efko4a5d,success,claude-3-7-sonnet-20250219,59,29,1.7609640474436812,10
pallets__jinja.ada0a9a6.lm_rewrite__5vrfvoxt,success,claude-3-7-sonnet-20250219,63,31,0.7219280948873623,10
pydicom__pydicom.7d361b3d.lm_rewrite__mm70eqp1,wandering,claude-3-7-sonnet-20250219,37,18,1.8464393446710154,10
iterative__dvc.1d6ea681.lm_rewrite__8mm0cg8j,locked,claude-3-7-sonnet-20250219,65,32,1.9709505944546686,10
python-trio__trio.cfbbe2c1.lm_rewrite__j9n7czda,locked,claude-3-7-sonnet-20250219,71,35,2.1219280948873624,10
rubik__radon.54b88e58.lm_rewrite__tjhst5wh,success,claude-3-7-sonnet-20250219,59,29,1.1567796494470395,10
seperman__deepdiff.ed252022.lm_rewrite__164v49ej,success,claude-3-7-sonnet-20250219,41,20,1.4854752972273344,10
seatgeek__thefuzz.8a05a3ee.lm_rewrite__tzl04soz,wandering,claude-3-7-sonnet-20250219,63,31,1.5709505944546687,10
Mimino666__langdetect.a1598f1a.lm_rewrite__4mcfbbpa,success,claude-3-7-sonnet-20250219,73,36,1.7609640474436812,10
pydata__patsy.a5d16484.lm_rewrite__aiedqasv,success,claude-3-7-sonnet-20250219,125,62,0.7219280948873623,10
cknd__stackprinter.219fcc52.lm_rewrite__qhd8y367,wandering,claude-3-7-sonnet-20250219,69,34,1.7609640474436812,10
agronholm__exceptiongroup.0b4f4937.lm_rewrite__oqs13swc,success,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
gawel__pyquery.811cd048.lm_rewrite__011t8oh6,wandering,claude-3-7-sonnet-20250219,77,38,1.4854752972273344,10
cantools__cantools.0c6a7871.lm_rewrite__jb9z9i9m,wandering,claude-3-7-sonnet-20250219,75,37,1.8464393446710154,10
paramiko__paramiko.23f92003.lm_rewrite__0y9gd4wp,success,claude-3-7-sonnet-20250219,39,19,1.7609640474436812,10
life4__textdistance.c3aca916.lm_rewrite__1bwnbljz,success,claude-3-7-sonnet-20250219,49,24,1.5709505944546687,10
tkrajina__gpxpy.09fc46b3.lm_rewrite__xmiv50a6,wandering,claude-3-7-sonnet-20250219,111,55,2.1709505944546685,10
gawel__pyquery.811cd048.lm_rewrite__g0w5tf56,wandering,claude-3-7-sonnet-20250219,69,34,1.8464393446710154,10
facebookresearch__fvcore.a491d5b9.lm_rewrite__xtr8pyq3,wandering,claude-3-7-sonnet-20250219,75,37,1.7609640474436812,10
oauthlib__oauthlib.1fd52536.lm_rewrite__ow727h97,wandering,claude-3-7-sonnet-20250219,41,20,2.1219280948873624,10
jawah__charset_normalizer.1fdd6463.lm_rewrite__h2zn5g82,success,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
adrienverge__yamllint.8513d9b9.lm_rewrite__cr4fvoo5,locked,claude-3-7-sonnet-20250219,39,19,2.1219280948873624,10
marshmallow-code__webargs.dbde72fe.lm_rewrite__4yc0e6bz,wandering,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
pydata__patsy.a5d16484.lm_rewrite__y74p1prm,wandering,claude-3-7-sonnet-20250219,41,20,2.1219280948873624,10
erikrose__parsimonious.0d3f5f93.lm_rewrite__ls3fh182,wandering,claude-3-7-sonnet-20250219,169,84,0.7219280948873623,10
cookiecutter__cookiecutter.b4451231.lm_rewrite__9kxs7ws4,success,claude-3-7-sonnet-20250219,39,19,1.9609640474436814,10
marshmallow-code__apispec.8b421526.lm_rewrite__pjbrsbcn,wandering,claude-3-7-sonnet-20250219,41,20,1.4854752972273344,10
mahmoud__glom.fb3c4e76.lm_rewrite__dyd5vznl,locked,claude-3-7-sonnet-20250219,121,60,1.9219280948873623,10
jaraco__inflect.c079a96a.lm_rewrite__ciewwy3k,success,claude-3-7-sonnet-20250219,63,31,1.1567796494470395,10
alecthomas__voluptuous.a7a55f83.lm_rewrite__7clrnhsi,wandering,claude-3-7-sonnet-20250219,69,34,1.7609640474436812,10
bottlepy__bottle.a8dfef30.lm_rewrite__6wkup0zn,success,claude-3-7-sonnet-20250219,69,34,1.7609640474436812,10
hukkin__tomli.443a0c1b.lm_rewrite__xukqe6wu,wandering,claude-3-7-sonnet-20250219,99,49,1.8464393446710154,10
pdfminer__pdfminer.six.1a8bd2f7.lm_rewrite__5ehs3a8k,wandering,claude-3-7-sonnet-20250219,69,34,1.8464393446710154,10
arrow-py__arrow.1d70d009.lm_rewrite__5xi5459j,success,claude-3-7-sonnet-20250219,29,14,1.7609640474436812,10
luozhouyang__python-string-similarity.115acaac.lm_rewrite__do51pu4p,success,claude-3-7-sonnet-20250219,87,43,1.3709505944546687,10
life4__textdistance.c3aca916.lm_rewrite__1azob8wx,success,claude-3-7-sonnet-20250219,43,21,1.5709505944546687,10
lepture__mistune.bf54ef67.lm_rewrite__cgb89vzb,wandering,claude-3-7-sonnet-20250219,47,23,1.7609640474436812,10
tox-dev__pipdeptree.c31b6418.lm_rewrite__vgy54yp7,success,claude-3-7-sonnet-20250219,61,30,1.7609640474436812,10
keleshev__schema.24a30457.lm_rewrite__aj7k3pzh,wandering,claude-3-7-sonnet-20250219,61,30,1.7609640474436812,10
arrow-py__arrow.1d70d009.lm_rewrite__vxpm6hj5,success,claude-3-7-sonnet-20250219,31,15,2.1219280948873624,10
tweepy__tweepy.91a41c6e.lm_rewrite__d7fgi1ci,locked,claude-3-7-sonnet-20250219,55,27,1.4854752972273344,10
tornadoweb__tornado.d5ac65c1.lm_rewrite__rl4yuxyq,wandering,claude-3-7-sonnet-20250219,79,39,1.1567796494470395,10
prettytable__prettytable.ca90b055.lm_rewrite__vgc9sq7k,success,claude-3-7-sonnet-20250219,41,20,1.7609640474436812,10
encode__starlette.db5063c2.lm_rewrite__lax89jze,success,claude-3-7-sonnet-20250219,87,43,1.8464393446710154,10
lepture__mistune.bf54ef67.lm_rewrite__gwzigfyw,success,claude-3-7-sonnet-20250219,47,23,1.7609640474436812,10
mahmoud__glom.fb3c4e76.lm_rewrite__05fl75m5,wandering,claude-3-7-sonnet-20250219,137,68,1.4854752972273344,10
python-trio__trio.cfbbe2c1.lm_rewrite__6y3hq768,success,claude-3-7-sonnet-20250219,29,14,1.9609640474436814,10
tkrajina__gpxpy.09fc46b3.lm_rewrite__t4df8c69,success,claude-3-7-sonnet-20250219,35,17,2.1219280948873624,10
keleshev__schema.24a30457.lm_rewrite__n1lxtqoc,success,claude-3-7-sonnet-20250219,45,22,1.7609640474436812,10
pwaller__pyfiglet.f8c5f35b.lm_rewrite__gbxuh6a7,wandering,claude-3-7-sonnet-20250219,163,81,2.0464393446710156,10
termcolor__termcolor.3a42086f.lm_rewrite__rjccouts,wandering,claude-3-7-sonnet-20250219,41,20,1.4854752972273344,10
encode__starlette.db5063c2.lm_rewrite__pwwh9aql,wandering,claude-3-7-sonnet-20250219,57,28,1.8464393446710154,10
facebookresearch__fvcore.a491d5b9.lm_rewrite__m0xnjits,wandering,claude-3-7-sonnet-20250219,69,34,2.1219280948873624,10
kayak__pypika.1c9646f0.lm_rewrite__v8d2njaq,wandering,claude-3-7-sonnet-20250219,33,16,2.1219280948873624,10
pygments__pygments.27649ebb.lm_rewrite__3alv8emh,wandering,claude-3-7-sonnet-20250219,85,42,2.1219280948873624,10
pdfminer__pdfminer.six.1a8bd2f7.lm_rewrite__295g9vu1,wandering,claude-3-7-sonnet-20250219,73,36,1.5709505944546687,10
pexpect__ptyprocess.1067dbda.lm_rewrite__nd8ot65n,success,claude-3-7-sonnet-20250219,63,31,1.8464393446710154,10
django-money__django-money.835c1ab8.lm_rewrite__jqnsoq94,success,claude-3-7-sonnet-20250219,57,28,1.5219280948873621,10
john-kurkowski__tldextract.3d1bf184.lm_rewrite__3fgtc4wo,wandering,claude-3-7-sonnet-20250219,29,14,1.7609640474436812,10
marshmallow-code__marshmallow.9716fc62.lm_rewrite__pg8be73q,success,claude-3-7-sonnet-20250219,93,46,1.7609640474436812,10
pudo__dataset.5c2dc8d3.lm_rewrite__k275kq3h,success,claude-3-7-sonnet-20250219,25,12,2.1219280948873624,10
graphql-python__graphene.82903263.lm_rewrite__irwtbat6,success,claude-3-7-sonnet-20250219,27,13,1.7609640474436812,10
pygments__pygments.27649ebb.lm_rewrite__ak88xeit,wandering,claude-3-7-sonnet-20250219,87,43,1.8464393446710154,10
jaraco__inflect.c079a96a.lm_rewrite__gov97mco,wandering,claude-3-7-sonnet-20250219,59,29,2.1219280948873624,10
john-kurkowski__tldextract.3d1bf184.lm_rewrite__u09vy5kw,success,claude-3-7-sonnet-20250219,73,36,1.7609640474436812,10
pwaller__pyfiglet.f8c5f35b.lm_rewrite__l2t3kb1j,wandering,claude-3-7-sonnet-20250219,105,52,1.7609640474436812,10
scanny__python-pptx.278b47b1.lm_rewrite__p124hs3f,wandering,claude-3-7-sonnet-20250219,77,38,1.7609640474436812,10
pydicom__pydicom.7d361b3d.lm_rewrite__v1d2z2kk,wandering,claude-3-7-sonnet-20250219,59,29,1.5709505944546687,10
agronholm__typeguard.b6a7e438.lm_rewrite__qgspafvp,success,claude-3-7-sonnet-20250219,61,30,1.5709505944546687,10
marshmallow-code__apispec.8b421526.lm_rewrite__p7omhjv7,success,claude-3-7-sonnet-20250219,29,14,1.7609640474436812,10
facelessuser__soupsieve.a8080d97.lm_rewrite__zcpw35p9,wandering,claude-3-7-sonnet-20250219,175,87,1.7609640474436812,10
alanjds__drf-nested-routers.6144169d.lm_rewrite__134rq2rq,success,claude-3-7-sonnet-20250219,55,27,1.4854752972273344,10
mozillazg__python-pinyin.e42dede5.lm_rewrite__idwqar5p,wandering,claude-3-7-sonnet-20250219,71,35,1.4854752972273344,10
r1chardj0n3s__parse.30da9e4f.lm_rewrite__ve5fnfx8,wandering,claude-3-7-sonnet-20250219,103,51,1.7609640474436812,10
pyca__pyopenssl.04766a49.lm_rewrite__v9npv9ry,wandering,claude-3-7-sonnet-20250219,105,52,1.8464393446710154,10
agronholm__exceptiongroup.0b4f4937.lm_rewrite__1mhqopyf,success,claude-3-7-sonnet-20250219,191,95,1.7609640474436812,10
spulec__freezegun.5f171db0.lm_rewrite__b0ixukh7,wandering,claude-3-7-sonnet-20250219,63,31,1.4854752972273344,10
pyutils__line_profiler.a646bf0f.lm_rewrite__0oz7n2aa,success,claude-3-7-sonnet-20250219,47,23,1.4854752972273344,10
marshmallow-code__webargs.dbde72fe.lm_rewrite__8p0wlw8g,wandering,claude-3-7-sonnet-20250219,75,37,1.5709505944546687,10
bottlepy__bottle.a8dfef30.lm_rewrite__drqgvm47,wandering,claude-3-7-sonnet-20250219,191,95,1.3609640474436813,10
r1chardj0n3s__parse.30da9e4f.lm_rewrite__5nho0njg,wandering,claude-3-7-sonnet-20250219,53,26,1.5219280948873621,10
hukkin__tomli.443a0c1b.lm_rewrite__wkz2cddi,wandering,claude-3-7-sonnet-20250219,59,29,1.7609640474436812,10
python-trio__trio.cfbbe2c1.lm_rewrite__ymdp5ij1,wandering,claude-3-7-sonnet-20250219,51,25,1.9219280948873623,10
mahmoud__glom.fb3c4e76.lm_rewrite__sli6ccqj,success,claude-3-7-sonnet-20250219,63,31,1.4854752972273344,10
facelessuser__soupsieve.a8080d97.lm_rewrite__ko66mf5w,wandering,claude-3-7-sonnet-20250219,131,65,1.3609640474436813,10
pdfminer__pdfminer.six.1a8bd2f7.lm_rewrite__7dg3yyhh,wandering,claude-3-7-sonnet-20250219,47,23,1.7609640474436812,10
john-kurkowski__tldextract.3d1bf184.lm_rewrite__wwxwq26e,wandering,claude-3-7-sonnet-20250219,93,46,1.7609640474436812,10
spulec__freezegun.5f171db0.lm_rewrite__e207sc1g,success,claude-3-7-sonnet-20250219,53,26,1.3709505944546687,10
scrapy__scrapy.35212ec5.lm_rewrite__4oufd4mp,locked,claude-3-7-sonnet-20250219,39,19,1.3709505944546687,10
adrienverge__yamllint.8513d9b9.lm_rewrite__rp6dedgi,wandering,claude-3-7-sonnet-20250219,93,46,1.7609640474436812,10
pytest-dev__iniconfig.16793ead.lm_rewrite__bcmyjc2j,locked,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
scanny__python-pptx.278b47b1.lm_rewrite__iddgx4vd,wandering,claude-3-7-sonnet-20250219,67,33,2.1219280948873624,10
gawel__pyquery.811cd048.lm_rewrite__3q24yvsb,wandering,claude-3-7-sonnet-20250219,149,74,0.4689955935892812,10
django__daphne.32ac73e1.lm_rewrite__n77wj0t6,wandering,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
pallets__markupsafe.620c06c9.lm_rewrite__15in6vpa,success,claude-3-7-sonnet-20250219,53,26,1.4854752972273344,10
arrow-py__arrow.1d70d009.lm_rewrite__e6m1pcz7,wandering,claude-3-7-sonnet-20250219,73,36,1.7609640474436812,10
tkrajina__gpxpy.09fc46b3.lm_rewrite__9a87tiqc,wandering,claude-3-7-sonnet-20250219,85,42,1.4854752972273344,10
python-jsonschema__jsonschema.93e0caa5.lm_rewrite__m1abqrwr,wandering,claude-3-7-sonnet-20250219,35,17,1.3709505944546687,10
andialbrecht__sqlparse.e57923b3.lm_rewrite__6fgwwl4n,wandering,claude-3-7-sonnet-20250219,73,36,1.5709505944546687,10
rubik__radon.54b88e58.lm_rewrite__w6fqax16,success,claude-3-7-sonnet-20250219,51,25,1.5709505944546687,10
cantools__cantools.0c6a7871.lm_rewrite__daqnkxxy,wandering,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
luozhouyang__python-string-similarity.115acaac.lm_rewrite__f9p7evxv,success,claude-3-7-sonnet-20250219,49,24,1.5709505944546687,10
dask__dask.5f61e423.lm_rewrite__9evketl7,wandering,claude-3-7-sonnet-20250219,111,55,1.4854752972273344,10
cookiecutter__cookiecutter.b4451231.lm_rewrite__t7glbm0e,success,claude-3-7-sonnet-20250219,47,23,1.7609640474436812,10
pydata__patsy.a5d16484.lm_rewrite__xuo1597r,locked,claude-3-7-sonnet-20250219,55,27,2.1219280948873624,10
jaraco__inflect.c079a96a.lm_rewrite__wc4fd9gl,success,claude-3-7-sonnet-20250219,47,23,1.1567796494470395,10
jaraco__inflect.c079a96a.lm_rewrite__j0n89gkr,success,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
jd__tenacity.0d40e76f.lm_rewrite__h8rtl9ii,wandering,claude-3-7-sonnet-20250219,31,15,2.1219280948873624,10
weaveworks__grafanalib.5c3b17ed.lm_rewrite__inrbuxpg,success,claude-3-7-sonnet-20250219,41,20,1.7609640474436812,10
mozillazg__python-pinyin.e42dede5.lm_rewrite__ucctznq5,success,claude-3-7-sonnet-20250219,71,35,1.5709505944546687,10
pallets__click.fde47b4b.lm_rewrite__lpz06jsl,success,claude-3-7-sonnet-20250219,79,39,1.1567796494470395,10
mido__mido.a0158ff9.lm_rewrite__hthr1ijt,success,claude-3-7-sonnet-20250219,59,29,1.8464393446710154,10
pylint-dev__astroid.b114f6b5.lm_rewrite__08v06c41,wandering,claude-3-7-sonnet-20250219,97,48,1.8464393446710154,10
tweepy__tweepy.91a41c6e.lm_rewrite__twbwbwk3,success,claude-3-7-sonnet-20250219,75,37,1.5219280948873621,10
seatgeek__thefuzz.8a05a3ee.lm_rewrite__d5tz04lg,success,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
pylint-dev__astroid.b114f6b5.lm_rewrite__7r1yx0gm,wandering,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
andialbrecht__sqlparse.e57923b3.lm_rewrite__m2vux0vj,wandering,claude-3-7-sonnet-20250219,87,43,1.7609640474436812,10
mozillazg__python-pinyin.e42dede5.lm_rewrite__0xvqderw,locked,claude-3-7-sonnet-20250219,29,14,2.1219280948873624,10
lepture__mistune.bf54ef67.lm_rewrite__e0bjax5b,locked,claude-3-7-sonnet-20250219,173,86,1.7219280948873623,10
agronholm__exceptiongroup.0b4f4937.lm_rewrite__0mv3i7ga,wandering,claude-3-7-sonnet-20250219,51,25,1.8464393446710154,10
Project-MONAI__MONAI.a09c1f08.lm_rewrite__t91hj4g3,locked,claude-3-7-sonnet-20250219,57,28,1.3709505944546687,10
dask__dask.5f61e423.lm_rewrite__6mq2udnj,success,claude-3-7-sonnet-20250219,41,20,1.7609640474436812,10
bottlepy__bottle.a8dfef30.lm_rewrite__i8ipdrub,wandering,claude-3-7-sonnet-20250219,141,70,1.7609640474436812,10
jaraco__inflect.c079a96a.lm_rewrite__ho2lsy8f,wandering,claude-3-7-sonnet-20250219,127,63,1.3609640474436813,10
dbader__schedule.82a43db1.lm_rewrite__bjsq7wvi,locked,claude-3-7-sonnet-20250219,167,83,1.4854752972273344,10
django-money__django-money.835c1ab8.lm_rewrite__aq95yel8,success,claude-3-7-sonnet-20250219,71,35,1.4854752972273344,10
tox-dev__pipdeptree.c31b6418.lm_rewrite__7ddb2yvp,success,claude-3-7-sonnet-20250219,57,28,1.7609640474436812,10
erikrose__parsimonious.0d3f5f93.lm_rewrite__xqrxy7mm,success,claude-3-7-sonnet-20250219,53,26,2.1219280948873624,10
rubik__radon.54b88e58.lm_rewrite__4333tnak,success,claude-3-7-sonnet-20250219,41,20,1.5709505944546687,10
gawel__pyquery.811cd048.lm_rewrite__zjj8wrmt,locked,claude-3-7-sonnet-20250219,65,32,1.7609640474436812,10
Suor__funcy.207a7810.lm_rewrite__638b50bo,success,claude-3-7-sonnet-20250219,89,44,1.7609640474436812,10
scrapy__scrapy.35212ec5.lm_rewrite__g7j1bs2z,wandering,claude-3-7-sonnet-20250219,63,31,1.4854752972273344,10
