task_family,task_id,model,label,n_turns,n_tools_total,n_tools_last10,tool_entropy_last10,tool_diversity_last10,tool_entropy_full,n_unique_tools_full
gaia,gaia/df6561b2,claude-3-5-sonnet-20240620,normal,4,4,4,1.5,0.75,1.5,3
gaia,gaia/df6561b2,claude-3-5-sonnet-20240620,normal,5,5,5,1.3709505944546687,0.6,1.3709505944546687,3
gaia,gaia/df6561b2,claude-3-5-sonnet-20240620,normal,10,10,10,0.9219280948873623,0.3,0.9219280948873623,3
wordle,wordle/word4,claude-3-5-sonnet-20240620,normal,9,9,9,1.4466166676282082,0.4444444444444444,1.4466166676282082,4
wordle,wordle/word4,claude-3-5-sonnet-20240620,normal,9,9,9,1.4466166676282082,0.4444444444444444,1.4466166676282082,4
wordle,wordle/word5,claude-3-5-sonnet-20240620,normal,10,10,10,1.7709505944546688,0.5,1.7709505944546688,5
wordle,wordle/word4,claude-3-5-sonnet-20240620,normal,6,6,6,1.7924812503605778,0.6666666666666666,1.7924812503605778,4
wordle,wordle/word5,claude-3-5-sonnet-20240620,normal,9,9,9,1.4466166676282082,0.4444444444444444,1.4466166676282082,4
wordle,wordle/word5,claude-3-5-sonnet-20240620,normal,10,10,10,1.7709505944546688,0.5,1.7709505944546688,5
wordle,wordle/word5,claude-3-5-sonnet-20240620,normal,9,9,9,1.4466166676282082,0.4444444444444444,1.4466166676282082,4
wordle,wordle/word5,claude-3-5-sonnet-20240620,normal,9,9,9,0.9864267287308424,0.3333333333333333,0.9864267287308424,3
wordle,wordle/word3,claude-3-5-sonnet-20240620,normal,9,9,9,1.4466166676282082,0.4444444444444444,1.4466166676282082,4
wordle,wordle/word3,claude-3-5-sonnet-20240620,normal,9,9,9,1.4466166676282082,0.4444444444444444,1.4466166676282082,4
wordle,wordle/word3,claude-3-5-sonnet-20240620,normal,10,10,10,1.5709505944546687,0.4,1.5709505944546687,4
wordle,wordle/word3,claude-3-5-sonnet-20240620,normal,9,9,9,1.4466166676282082,0.4444444444444444,1.4466166676282082,4
wordle,wordle/word3,claude-3-5-sonnet-20240620,normal,9,9,9,1.4466166676282082,0.4444444444444444,1.4466166676282082,4
wordle,wordle/word4,claude-3-5-sonnet-20240620,normal,29,29,10,0.4689955935892812,0.2,1.2472698656300505,4
wordle,wordle/word4,claude-3-5-sonnet-20240620,normal,9,9,9,1.4466166676282082,0.4444444444444444,1.4466166676282082,4
local_research_tex,local_research_tex/trpo,claude-3-5-sonnet-20241022,normal,7,7,7,2.2359263506290326,0.7142857142857143,2.2359263506290326,5
local_research_tex,local_research_tex/trpo,claude-3-5-sonnet-20241022,normal,8,8,8,2.25,0.625,2.25,5
local_research_tex,local_research_tex/trpo,claude-3-5-sonnet-20241022,normal,8,8,8,2.1556390622295662,0.625,2.1556390622295662,5
machine_learning_local,machine_learning_local/cifar10_reasonable,claude-3-5-sonnet-20240620,normal,5,5,5,1.5219280948873621,0.6,1.5219280948873621,3
machine_learning_local,machine_learning_local/cifar10_reasonable,claude-3-5-sonnet-20240620,normal,4,4,4,1.5,0.75,1.5,3
password_check,password_check/1,claude-3-5-sonnet-20240620,normal,7,7,7,2.128085278891394,0.7142857142857143,2.128085278891394,5
password_check,password_check/5,claude-3-5-sonnet-20240620,normal,13,13,10,2.1709505944546685,0.5,2.5654483718208256,7
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,3,3,3,1.584962500721156,1.0,1.584962500721156,3
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,3,3,3,1.584962500721156,1.0,1.584962500721156,3
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,4,4,4,1.5,0.75,1.5,3
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,21,21,10,1.5219280948873621,0.3,1.5566567074628228,3
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,4,4,4,1.5,0.75,1.5,3
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,4,4,4,1.5,0.75,1.5,3
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,3,3,3,1.584962500721156,1.0,1.584962500721156,3
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,30,30,10,1.8954618442383218,0.4,1.8062389286533895,4
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,30,30,10,1.5709505944546684,0.3,1.8062389286533895,4
advent_of_code,advent_of_code/2023day5part1,claude-3-5-sonnet-20241022,normal,28,28,10,1.5709505944546684,0.3,1.5566567074628228,3
password_check,password_check/7,claude-3-5-sonnet-20240620,normal,55,55,10,2.0464393446710156,0.5,2.6846276547998422,12
wikipedia_research,wikipedia_research/speaker_of_house,claude-3-5-haiku-20241022,normal,4,4,4,1.5,0.75,1.5,3
debug_small_libs,debug_small_libs/orm_somebugs,claude-3-5-sonnet-20240620,normal,11,11,10,1.8954618442383218,0.4,2.1626441180472606,5
debug_small_libs,debug_small_libs/orm_somebugs,claude-3-5-sonnet-20240620,normal,11,11,10,1.8954618442383218,0.4,2.1626441180472606,5
debug_small_libs,debug_small_libs/orm_somebugs,claude-3-5-sonnet-20240620,normal,11,11,10,1.8464393446710154,0.4,2.1180782093497093,5
debug_small_libs,debug_small_libs/orm_somebugs,claude-3-5-sonnet-20240620,normal,10,10,10,2.1709505944546685,0.5,2.1709505944546685,5
esolang,esolang/broccoli_collatz,claude-3-5-sonnet-20240620,normal,25,25,10,1.3609640474436813,0.3,1.4009242772281592,4
esolang,esolang/broccoli_collatz,claude-3-5-sonnet-20240620,normal,27,27,10,1.3609640474436813,0.3,1.3713054016517379,4
esolang,esolang/broccoli_collatz,claude-3-5-sonnet-20240620,normal,26,26,10,1.295461844238322,0.3,1.3912435636292555,4
esolang,esolang/broccoli_fibonacci,claude-3-5-sonnet-20240620,normal,9,9,9,1.7527152789797045,0.4444444444444444,1.7527152789797045,4
debug_small_libs,debug_small_libs/markdown,claude-3-5-sonnet-20240620,normal,55,55,10,1.3609640474436813,0.3,1.469018348981234,5
esolang,esolang/broccoli_fibonacci,claude-3-5-sonnet-20240620,normal,8,8,8,1.811278124459133,0.5,1.811278124459133,4
debug_small_libs,debug_small_libs/orm_allbugs,claude-3-5-sonnet-20240620,normal,49,49,10,0.9709505944546686,0.2,1.3260038109044268,4
esolang,esolang/broccoli_fibonacci,claude-3-5-sonnet-20240620,normal,5,5,5,2.321928094887362,1.0,2.321928094887362,5
esolang,esolang/broccoli_collatz,claude-3-5-sonnet-20240620,normal,46,46,10,1.1567796494470395,0.3,1.252308436164513,4
esolang,esolang/broccoli_fibonacci,claude-3-5-sonnet-20240620,normal,9,9,9,1.7527152789797047,0.4444444444444444,1.7527152789797047,4
debug_small_libs,debug_small_libs/orm_allbugs,claude-3-5-sonnet-20240620,normal,20,20,10,1.3609640474436813,0.3,1.6783898247235196,5
esolang,esolang/broccoli_collatz,claude-3-5-sonnet-20240620,normal,48,48,10,1.3609640474436813,0.3,1.244648529414446,4
debug_small_libs,debug_small_libs/markdown,claude-3-5-sonnet-20240620,normal,56,56,10,1.3609640474436813,0.3,1.3324728643775676,5
debug_small_libs,debug_small_libs/orm_allbugs,claude-3-5-sonnet-20240620,normal,33,33,10,1.3609640474436813,0.3,1.4662668455822263,5
esolang,esolang/broccoli_fibonacci,claude-3-5-sonnet-20240620,normal,5,5,5,1.9219280948873623,0.8,1.9219280948873623,4
hypothesis_testing,hypothesis_testing/mystery_function_1,claude-3-5-sonnet-20240620,normal,4,4,4,0.8112781244591328,0.5,0.8112781244591328,2
hypothesis_testing,hypothesis_testing/mystery_function_1,claude-3-5-sonnet-20240620,normal,14,14,10,0.4689955935892812,0.2,0.37123232664087563,2
hypothesis_testing,hypothesis_testing/mystery_function_1,claude-3-5-sonnet-20240620,normal,13,13,10,0.4689955935892812,0.2,0.39124356362925566,2
hypothesis_testing,hypothesis_testing/mystery_function_1,claude-3-5-sonnet-20240620,normal,11,11,10,0.4689955935892812,0.2,0.4394969869215134,2
hypothesis_testing,hypothesis_testing/mystery_function_1,claude-3-5-sonnet-20240620,normal,6,6,6,0.6500224216483541,0.3333333333333333,0.6500224216483541,2
hypothesis_testing,hypothesis_testing/mystery_function_2,claude-3-5-sonnet-20240620,normal,7,7,7,0.5916727785823275,0.2857142857142857,0.5916727785823275,2
debug_small_libs,debug_small_libs/markdown,claude-3-5-sonnet-20240620,normal,12,12,10,1.7219280948873623,0.4,1.9508257945180887,5
debug_small_libs,debug_small_libs/markdown,claude-3-5-sonnet-20240620,normal,60,60,10,1.7219280948873623,0.4,1.3866926683547545,5
debug_small_libs,debug_small_libs/markdown,claude-3-5-sonnet-20240620,normal,64,64,10,1.3609640474436813,0.3,1.3002061954648645,5
hypothesis_testing,hypothesis_testing/mystery_function_2,claude-3-5-sonnet-20240620,normal,6,6,6,0.6500224216483541,0.3333333333333333,0.6500224216483541,2
debug_small_libs,debug_small_libs/orm_allbugs,claude-3-5-sonnet-20240620,normal,55,55,10,1.295461844238322,0.3,1.4048731363928741,5
hypothesis_testing,hypothesis_testing/mystery_function_2,claude-3-5-sonnet-20240620,normal,10,10,10,0.4689955935892812,0.2,0.4689955935892812,2
hypothesis_testing,hypothesis_testing/mystery_function_2,claude-3-5-sonnet-20240620,normal,6,6,6,0.6500224216483541,0.3333333333333333,0.6500224216483541,2
hypothesis_testing,hypothesis_testing/mystery_function_2,claude-3-5-sonnet-20240620,normal,16,16,10,0.4689955935892812,0.2,0.3372900666170139,2
hypothesis_testing,hypothesis_testing/mystery_function_4,claude-3-5-sonnet-20240620,normal,9,9,9,0.5032583347756457,0.2222222222222222,0.5032583347756457,2
hypothesis_testing,hypothesis_testing/mystery_function_4,claude-3-5-sonnet-20240620,normal,13,13,10,0.4689955935892812,0.2,0.39124356362925566,2
hypothesis_testing,hypothesis_testing/mystery_function_4,claude-3-5-sonnet-20240620,normal,8,8,8,0.5435644431995964,0.25,0.5435644431995964,2
hypothesis_testing,hypothesis_testing/mystery_function_4,claude-3-5-sonnet-20240620,normal,15,15,10,0.4689955935892812,0.2,0.35335933502142136,2
hypothesis_testing,hypothesis_testing/mystery_function_4,claude-3-5-sonnet-20240620,normal,9,9,9,0.5032583347756457,0.2222222222222222,0.5032583347756457,2
hypothesis_testing,hypothesis_testing/mystery_function_6,claude-3-5-sonnet-20240620,normal,6,6,6,0.6500224216483541,0.3333333333333333,0.6500224216483541,2
hypothesis_testing,hypothesis_testing/mystery_function_6,claude-3-5-sonnet-20240620,normal,7,7,7,0.5916727785823275,0.2857142857142857,0.5916727785823275,2
hypothesis_testing,hypothesis_testing/mystery_function_6,claude-3-5-sonnet-20240620,normal,9,9,9,0.5032583347756457,0.2222222222222222,0.5032583347756457,2
hypothesis_testing,hypothesis_testing/mystery_function_6,claude-3-5-sonnet-20240620,normal,6,6,6,0.6500224216483541,0.3333333333333333,0.6500224216483541,2
hypothesis_testing,hypothesis_testing/mystery_function_6,claude-3-5-sonnet-20240620,normal,8,8,8,0.5435644431995964,0.25,0.5435644431995964,2
hypothesis_testing,hypothesis_testing/mystery_function_8,claude-3-5-sonnet-20240620,normal,7,7,7,0.5916727785823275,0.2857142857142857,0.5916727785823275,2
hypothesis_testing,hypothesis_testing/mystery_function_8,claude-3-5-sonnet-20240620,normal,11,11,10,0.4689955935892812,0.2,0.4394969869215134,2
password_check,password_check/1,claude-3-5-sonnet-20240620,normal,5,5,5,1.9219280948873623,0.8,1.9219280948873623,4
hypothesis_testing,hypothesis_testing/mystery_function_8,claude-3-5-sonnet-20240620,normal,13,13,10,0.4689955935892812,0.2,0.39124356362925566,2
hypothesis_testing,hypothesis_testing/mystery_function_8,claude-3-5-sonnet-20240620,normal,5,5,5,0.7219280948873623,0.4,0.7219280948873623,2
debug_small_libs,debug_small_libs/orm_allbugs,claude-3-5-sonnet-20240620,normal,67,67,10,1.295461844238322,0.3,1.2567296191145516,5
local_research,local_research/atari_epochs,claude-3-5-sonnet-20240620,normal,6,6,6,1.4591479170272448,0.5,1.4591479170272448,3
local_research,local_research/atari_epochs,claude-3-5-sonnet-20240620,normal,8,8,8,1.2987949406953985,0.375,1.2987949406953985,3
debug_small_libs,debug_small_libs/orm_somebugs,claude-3-5-sonnet-20240620,normal,70,70,10,0.4689955935892812,0.2,1.4688271668586241,8
local_research,local_research/atari_epochs,claude-3-5-sonnet-20240620,normal,8,8,8,1.4056390622295665,0.375,1.4056390622295665,3
local_research,local_research/atari_epochs,claude-3-5-sonnet-20240620,normal,8,8,8,1.2987949406953985,0.375,1.2987949406953985,3
local_research,local_research/which_does_worse,claude-3-5-sonnet-20240620,normal,8,8,8,1.2987949406953985,0.375,1.2987949406953985,3
local_research,local_research/which_does_worse,claude-3-5-sonnet-20240620,normal,7,7,7,1.3787834934861753,0.42857142857142855,1.3787834934861753,3
machine_learning_local,machine_learning_local/cifar10_reasonable,claude-3-5-sonnet-20240620,normal,5,5,5,1.3709505944546687,0.6,1.3709505944546687,3
local_research,local_research/which_does_worse,claude-3-5-sonnet-20240620,normal,7,7,7,1.3787834934861753,0.42857142857142855,1.3787834934861753,3
machine_learning_local,machine_learning_local/cifar10_reasonable,claude-3-5-sonnet-20240620,normal,5,5,5,1.3709505944546687,0.6,1.3709505944546687,3
machine_learning_local,machine_learning_local/cifar10_reasonable,claude-3-5-sonnet-20240620,normal,5,5,5,1.3709505944546687,0.6,1.3709505944546687,3
machine_learning_local,machine_learning_local/cifar10_reasonable,claude-3-5-sonnet-20240620,normal,12,12,10,0.4689955935892812,0.2,0.8166890883150209,3
make_web_server,make_web_server/hello,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
make_web_server,make_web_server/hello,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
machine_learning_local,machine_learning_local/cifar10_reasonable,claude-3-5-sonnet-20240620,normal,7,7,7,1.1488348542809166,0.42857142857142855,1.1488348542809166,3
make_web_server,make_web_server/hello,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
make_web_server,make_web_server/hello,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
make_web_server,make_web_server/hello,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
hypothesis_testing,hypothesis_testing/mystery_function_8,claude-3-5-sonnet-20240620,normal,6,6,6,0.6500224216483541,0.3333333333333333,0.6500224216483541,2
password_check,password_check/1,claude-3-5-sonnet-20240620,normal,10,10,10,2.4464393446710155,0.6,2.4464393446710155,6
password_check,password_check/2,claude-3-5-sonnet-20240620,normal,13,13,10,2.446439344671015,0.6,2.8731406795131336,8
password_check,password_check/2,claude-3-5-sonnet-20240620,normal,16,16,10,2.0464393446710156,0.5,2.649397470347699,8
password_check,password_check/1,claude-3-5-sonnet-20240620,normal,17,17,10,2.9219280948873623,0.8,3.0071964896856174,10
password_check,password_check/3,claude-3-5-sonnet-20240620,normal,15,15,10,2.321928094887362,0.6,2.9995812306460645,10
password_check,password_check/3,claude-3-5-sonnet-20240620,normal,31,31,10,2.9219280948873623,0.8,2.9793807959070806,13
password_check,password_check/2,claude-3-5-sonnet-20240620,normal,32,32,10,2.6464393446710153,0.7,2.3960938348528806,10
password_check,password_check/1,claude-3-5-sonnet-20240620,normal,26,26,10,2.321928094887362,0.6,2.8865451235745474,9
password_check,password_check/3,claude-3-5-sonnet-20240620,normal,31,31,10,2.1609640474436813,0.6,2.4991732027793203,10
password_check,password_check/2,claude-3-5-sonnet-20240620,normal,33,33,10,2.2464393446710154,0.5,3.0766457263418623,12
password_check,password_check/4,claude-3-5-sonnet-20240620,normal,6,6,6,2.2516291673878226,0.8333333333333334,2.2516291673878226,5
password_check,password_check/4,claude-3-5-sonnet-20240620,normal,18,18,10,2.6464393446710157,0.7,2.7029043371886066,9
pico_ctf,pico_ctf/104_nohint_no_internet,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
password_check,password_check/7,claude-3-5-sonnet-20240620,normal,9,9,9,2.6416041678685933,0.7777777777777778,2.6416041678685933,7
pico_ctf,pico_ctf/104_nohint_no_internet,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
password_check,password_check/5,claude-3-5-sonnet-20240620,normal,13,13,10,2.6464393446710153,0.7,3.180832987205441,10
pico_ctf,pico_ctf/104_nohint_no_internet,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
pico_ctf,pico_ctf/104_nohint_no_internet,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
pico_ctf,pico_ctf/166_no_internet,claude-3-5-sonnet-20240620,normal,5,5,5,1.9219280948873623,0.8,1.9219280948873623,4
password_check,password_check/5,claude-3-5-sonnet-20240620,normal,12,12,10,2.721928094887362,0.7,2.8553885422075336,8
pico_ctf,pico_ctf/166_no_internet,claude-3-5-sonnet-20240620,normal,6,6,6,2.2516291673878226,0.8333333333333334,2.2516291673878226,5
pico_ctf,pico_ctf/104_nohint_no_internet,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
pico_ctf,pico_ctf/166_no_internet,claude-3-5-sonnet-20240620,normal,5,5,5,1.9219280948873623,0.8,1.9219280948873623,4
password_check,password_check/5,claude-3-5-sonnet-20240620,normal,17,17,10,2.6464393446710153,0.7,2.889549430862088,9
pico_ctf,pico_ctf/166_no_internet,claude-3-5-sonnet-20240620,normal,6,6,6,1.9182958340544893,0.6666666666666666,1.9182958340544893,4
pico_ctf,pico_ctf/166_no_internet,claude-3-5-sonnet-20240620,normal,5,5,5,1.9219280948873623,0.8,1.9219280948873623,4
pico_ctf,pico_ctf/208_no_internet,claude-3-5-sonnet-20240620,normal,14,14,10,0.4689955935892812,0.2,1.2916919971380596,4
password_check,password_check/7,claude-3-5-sonnet-20240620,normal,27,28,11,2.2221915755066783,0.6,2.680086250295562,9
local_research,local_research/which_does_worse,claude-3-5-sonnet-20240620,normal,12,12,10,0.4689955935892812,0.2,1.0408520829727552,3
pico_ctf,pico_ctf/208_no_internet,claude-3-5-sonnet-20240620,normal,16,16,10,0.9219280948873623,0.3,1.3244602933016414,4
password_check,password_check/4,claude-3-5-sonnet-20240620,normal,34,34,10,1.6854752972273346,0.4,2.638135271843176,10
pico_ctf,pico_ctf/208_no_internet,claude-3-5-sonnet-20240620,normal,10,10,10,1.5709505944546687,0.4,1.5709505944546687,4
password_check,password_check/3,claude-3-5-sonnet-20240620,normal,40,40,10,1.3567796494470397,0.4,2.3279535932767677,12
password_check,password_check/2,claude-3-5-sonnet-20240620,normal,44,44,10,1.5709505944546687,0.4,2.378869693359441,10
pico_ctf,pico_ctf/256_no_internet,claude-3-5-sonnet-20240620,normal,8,8,8,2.5,0.75,2.5,6
pico_ctf,pico_ctf/208_no_internet,claude-3-5-sonnet-20240620,normal,16,17,11,0.4394969869215134,0.2,1.1400677626718574,4
password_check,password_check/3,claude-3-5-sonnet-20240620,normal,42,42,10,2.6464393446710153,0.7,2.5239359088115982,12
pico_ctf,pico_ctf/208_no_internet,claude-3-5-sonnet-20240620,normal,10,10,10,1.5709505944546687,0.4,1.5709505944546687,4
pico_ctf,pico_ctf/256_no_internet,claude-3-5-sonnet-20240620,normal,7,7,7,2.807354922057604,1.0,2.807354922057604,7
pico_ctf,pico_ctf/264_nohint_no_internet,claude-3-5-sonnet-20240620,normal,9,9,9,2.2810361125534233,0.6666666666666666,2.2810361125534233,6
pico_ctf,pico_ctf/256_no_internet,claude-3-5-sonnet-20240620,normal,6,6,6,2.251629167387823,0.8333333333333334,2.251629167387823,5
pico_ctf,pico_ctf/256_no_internet,claude-3-5-sonnet-20240620,normal,6,6,6,2.2516291673878226,0.8333333333333334,2.2516291673878226,5
pico_ctf,pico_ctf/256_no_internet,claude-3-5-sonnet-20240620,normal,6,6,6,2.584962500721156,1.0,2.584962500721156,6
pico_ctf,pico_ctf/315_nohint_no_internet,claude-3-5-sonnet-20240620,normal,6,6,6,1.9182958340544893,0.6666666666666666,1.9182958340544893,4
pico_ctf,pico_ctf/315_nohint_no_internet,claude-3-5-sonnet-20240620,normal,5,5,5,1.9219280948873623,0.8,1.9219280948873623,4
pico_ctf,pico_ctf/264_nohint_no_internet,claude-3-5-sonnet-20240620,normal,8,8,8,1.5487949406953985,0.5,1.5487949406953985,4
pico_ctf,pico_ctf/315_nohint_no_internet,claude-3-5-sonnet-20240620,normal,12,12,10,1.3567796494470397,0.4,1.780672129520887,5
pico_ctf,pico_ctf/316_nohint_no_internet,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
pico_ctf,pico_ctf/315_nohint_no_internet,claude-3-5-sonnet-20240620,normal,6,6,6,1.9182958340544893,0.6666666666666666,1.9182958340544893,4
pico_ctf,pico_ctf/316_nohint_no_internet,claude-3-5-sonnet-20240620,normal,5,5,5,1.9219280948873623,0.8,1.9219280948873623,4
pico_ctf,pico_ctf/264_nohint_no_internet,claude-3-5-sonnet-20240620,normal,17,17,10,1.5709505944546687,0.4,2.5341468438052397,8
pico_ctf,pico_ctf/315_nohint_no_internet,claude-3-5-sonnet-20240620,normal,7,7,7,1.8423709931771084,0.5714285714285714,1.8423709931771084,4
pico_ctf,pico_ctf/264_nohint_no_internet,claude-3-5-sonnet-20240620,normal,10,10,10,2.1609640474436813,0.6,2.1609640474436813,6
pico_ctf,pico_ctf/316_nohint_no_internet,claude-3-5-sonnet-20240620,normal,5,5,5,1.9219280948873623,0.8,1.9219280948873623,4
pico_ctf,pico_ctf/264_nohint_no_internet,claude-3-5-sonnet-20240620,normal,11,11,10,1.7709505944546688,0.5,2.049452072789394,6
pico_ctf,pico_ctf/316_nohint_no_internet,claude-3-5-sonnet-20240620,normal,5,5,5,1.9219280948873623,0.8,1.9219280948873623,4
pico_ctf,pico_ctf/316_nohint_no_internet,claude-3-5-sonnet-20240620,normal,4,4,4,2.0,1.0,2.0,4
reverse_hash,reverse_hash/input1,claude-3-5-sonnet-20240620,normal,3,3,3,0.9182958340544896,0.6666666666666666,0.9182958340544896,2
reverse_hash,reverse_hash/input2,claude-3-5-sonnet-20240620,normal,5,5,5,1.3709505944546687,0.6,1.3709505944546687,3
reverse_hash,reverse_hash/input1,claude-3-5-sonnet-20240620,normal,9,9,9,0.9864267287308424,0.3333333333333333,0.9864267287308424,3
password_check,password_check/4,claude-3-5-sonnet-20240620,normal,50,50,10,2.5219280948873624,0.7,2.9690255736436497,13
reverse_hash,reverse_hash/input2,claude-3-5-sonnet-20240620,normal,13,13,10,2.1709505944546685,0.5,2.199687794731328,5
reverse_hash,reverse_hash/input5,claude-3-5-sonnet-20240620,normal,3,3,3,0.9182958340544896,0.6666666666666666,0.9182958340544896,2
reverse_hash,reverse_hash/input5,claude-3-5-sonnet-20240620,normal,5,5,5,1.5219280948873621,0.6,1.5219280948873621,3
reverse_hash,reverse_hash/input5,claude-3-5-sonnet-20240620,normal,7,7,7,1.950212064914747,0.5714285714285714,1.950212064914747,4
reverse_hash,reverse_hash/input5,claude-3-5-sonnet-20240620,normal,3,3,3,0.9182958340544896,0.6666666666666666,0.9182958340544896,2
reverse_hash,reverse_hash/input6,claude-3-5-sonnet-20240620,normal,5,5,5,0.7219280948873623,0.4,0.7219280948873623,2
reverse_hash,reverse_hash/input6,claude-3-5-sonnet-20240620,normal,5,5,5,0.7219280948873623,0.4,0.7219280948873623,2
search_server,search_server/twitter_password,claude-3-5-sonnet-20240620,normal,5,5,5,1.3709505944546687,0.6,1.3709505944546687,3
search_server,search_server/twitter_password,claude-3-5-sonnet-20240620,normal,5,5,5,1.3709505944546687,0.6,1.3709505944546687,3
search_server,search_server/twitter_password,claude-3-5-sonnet-20240620,normal,4,4,4,1.5,0.75,1.5,3
reverse_hash,reverse_hash/input6,claude-3-5-sonnet-20240620,normal,9,9,9,1.224394445405986,0.3333333333333333,1.224394445405986,3
search_server,search_server/twitter_password,claude-3-5-sonnet-20240620,normal,4,4,4,1.5,0.75,1.5,3
reverse_hash,reverse_hash/input6,claude-3-5-sonnet-20240620,normal,12,12,10,0.9219280948873623,0.3,1.188721875540867,3
symbolic_regression,symbolic_regression/level_1,claude-3-5-sonnet-20240620,normal,5,6,6,1.2516291673878228,0.6,1.2516291673878228,3
reverse_hash,reverse_hash/input2,claude-3-5-sonnet-20240620,normal,31,31,10,1.3609640474436813,0.3,2.1923488712143757,7
symbolic_regression,symbolic_regression/level_1,claude-3-5-sonnet-20240620,normal,16,16,10,0.4689955935892812,0.2,0.6685644431995964,3
symbolic_regression,symbolic_regression/level_2,claude-3-5-sonnet-20240620,normal,11,12,11,0.4394969869215134,0.2,0.8166890883150209,3
reverse_hash,reverse_hash/input1,claude-3-5-sonnet-20240620,normal,30,30,10,0.4689955935892812,0.2,0.420026001688088,3
password_check,password_check/5,claude-3-5-sonnet-20240620,normal,50,50,10,2.3219280948873626,0.6,2.7137896220778366,12
symbolic_regression,symbolic_regression/level_2,claude-3-5-sonnet-20240620,normal,15,15,10,0.4689955935892812,0.2,0.6998428398862386,3
