feature,class,selection_freq,stable
L43_norm_std,success,0.0,False
L43_norm_late_mean,success,0.0,False
L43_cosine_consec_mean,success,0.0,False
L43_cosine_consec_late,success,0.0,False
L43_drift_first_last,success,0.0,False
L55_norm_mean,success,0.0,False
L55_norm_std,success,0.0,False
L55_norm_late_mean,success,0.0,False
L55_cosine_consec_mean,success,0.0,False
L55_cosine_consec_late,success,0.0,False
L55_drift_first_last,success,0.0,False
cross_layer_norm_range_late_mean,success,0.0,False
cross_layer_norm_cv_late_mean,success,0.0,False
L11_drift_first_last,wandering,0.95,True
text_thinking_length_final,wandering,0.65,False
text_exploration_density,wandering,0.61,False
L31_norm_std,wandering,0.56,False
L43_norm_std,wandering,0.44,False
tool_switching_rate,wandering,0.41,False
L55_norm_std,wandering,0.4,False
text_doubt_density_late,wandering,0.385,False
L55_cosine_consec_late,wandering,0.385,False
L23_norm_late_mean,wandering,0.37,False
L23_norm_mean,wandering,0.34,False
text_completion_density,wandering,0.33,False
L31_norm_mean,wandering,0.33,False
tool_entropy_full,wandering,0.28,False
L11_norm_std,wandering,0.28,False
L43_cosine_consec_late,wandering,0.24,False
tool_entropy_first10,wandering,0.235,False
text_ngram_overlap_late,wandering,0.23,False
cross_layer_norm_cv_late_mean,wandering,0.225,False
text_thinking_length_mean,wandering,0.22,False
L31_norm_late_mean,wandering,0.22,False
L31_cosine_consec_mean,wandering,0.18,False
L55_norm_late_mean,wandering,0.175,False
tool_repetition_max_run,wandering,0.165,False
L23_cosine_consec_late,wandering,0.155,False
tool_entropy_last10,wandering,0.15,False
L31_drift_first_last,wandering,0.135,False
text_thinking_to_content_ratio_mean,wandering,0.13,False
L11_norm_mean,wandering,0.12,False
text_thinking_length_std,wandering,0.105,False
L23_norm_std,wandering,0.105,False
tool_top_fraction,wandering,0.085,False
L55_cosine_consec_mean,wandering,0.08,False
L11_cosine_consec_mean,wandering,0.075,False
tool_calls_per_turn_mean,wandering,0.07,False
L43_norm_late_mean,wandering,0.07,False
L55_norm_mean,wandering,0.065,False
L23_cosine_consec_mean,wandering,0.06,False
text_content_length_mean,wandering,0.055,False
L11_cosine_consec_late,wandering,0.055,False
L11_norm_late_mean,wandering,0.035,False
L31_cosine_consec_late,wandering,0.035,False
cross_layer_norm_range_late_mean,wandering,0.03,False
L23_drift_first_last,wandering,0.025,False
L43_drift_first_last,wandering,0.025,False
L55_drift_first_last,wandering,0.025,False
text_content_length_final,wandering,0.02,False
text_doubt_density,wandering,0.015,False
L43_cosine_consec_mean,wandering,0.005,False
tool_diversity_count,wandering,0.0,False
tool_total_calls,wandering,0.0,False
L43_norm_mean,wandering,0.0,False
